text,tweet_id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
"#NosUnimosONosJodemos es una persona de fiar, no tiene rabo de paja, es un buen administrador y gestor, une, da confianza y hace la politica que es a favor del pueblo, es temeroso de Dios.",1528357012517621762,Alegría,,,2023-01-10T17:13:59.367438Z,2023-01-10T17:13:59.367442Z,85.414
Lo mejor de #ElDebateDefinitivo es mi cuñado pensando que el moderador era Rodolfo.,1528921538090655744,Otra,,,2023-01-10T19:35:46.233861Z,2023-01-10T19:35:46.233866Z,14.346
"Federico: bueno dos cosas • Cuando fui alcalde de Medellín • Los consejos que mi papá me daba  Fin, gracias por su atención que gran debate   #ElDebateDefinitivo",1528919115775238144,"{""choices"": [""Sorpresa"", ""Tristeza""]}",,,2023-01-10T19:34:50.929801Z,2023-01-10T19:34:50.929806Z,28.557
#ElDebateDefinitivo conclusión: @sergio_fajardo es un completo idiota...de verdad que si no pierde votos hoy...la gente es muy tonta!.,1528918181888270337,"{""choices"": [""Ira"", ""Sorpresa""]}",,,2023-01-10T19:34:21.166778Z,2023-01-10T19:34:21.166782Z,18.17
"No hay nada definido, votemos con libertad por la persona que tiene las mejores propuestas, con @sergio_fajardo   Colombia cambiará, no dejarse llevar por las encuestas, a votar el domingo #ElDebateDefinitivo #YoVotoPorFajardo por la colombia que queremos!!!!! https://t.co/cCFQPRpRtQ",1528917531565731840,Otra,,,2023-01-10T19:34:01.677830Z,2023-01-10T19:34:01.677835Z,23.697
"Fico y su micrófono escondido en su sede de campaña, hmmmmmya jajajaja  #ElDebateDefinitivo",1528914947845021696,Sorpresa,,,2023-01-10T19:33:36.669406Z,2023-01-10T19:33:36.669410Z,9.17
"#DebateElTiempoSemana  @sergio_fajardo tiene toda la razón cuando dice :” yo no inspiro nada”, sus posturas siguen siendo respuestas que buscan no molestar a nadie y mostrarse éticamente correcto, pero son eso, nada  #ElDebateDefinitivo  #Colombia",1528915145300353025,Tristeza,,,2023-01-10T19:33:25.536688Z,2023-01-10T19:33:25.536691Z,14.995
"#EldebateDefinitivo en Chile no ha pasado nada...antes se aumento el salario mínimo en %mas alto de la historia,la gente va a votar por una nueva Constitución, Boric fue elegido dentro de los 100 más influyentes del mundo en Forbes",1528915216079065088,"{""choices"": [""Alegría"", ""Sorpresa""]}",,,2023-01-10T18:15:00.439608Z,2023-01-10T18:15:00.439614Z,21.012
Fico se enfanga con lo del perdón social. Ya lo verán. Petro si ha estudiado el tema. #ElDebateDefinitivo,1528915471323521026,Otra,,,2023-01-10T18:14:38.174257Z,2023-01-10T18:14:38.174262Z,78.255
"#ElDebateDefinitivo ha sido de lejos el peor que se ha hecho, los moderadores no tienen nada de autoridad y no se entiende el orden en lo absoluto.   @RevistaSemana nada de seriedad, que horror.",1528911745108123650,"{""choices"": [""Sorpresa"", ""Asco"", ""Tristeza""]}",,,2023-01-10T18:13:18.575240Z,2023-01-10T18:13:18.575244Z,22.286
