text,tweet_id,sentiment,annotator,annotation_id,created_at,updated_at,lead_time
"@FicoGutierrez #FicoPropone @FicoGutierrez #FedericoEsColombia así es,nada nos detiene,ni el agua,ni el granizo impidió que Medellín se volcara para para acompañár y escuchár al escogído por los paisas y millones de Colombianos ¡Domingo apoteósico!  #NosUnimosONosJodemos  #FicoPresidente 🇨🇴 https://t.co/2tL7Af8hys",1528513296575434752,Alegría,,,2023-01-09T18:40:06.000973Z,2023-01-09T18:40:06.000977Z,25.83
"#NosUnimosONosJodemos SIMPLE COINCIDENCIA? El CULEBRERO figura pinturesca de la fauna nacional se caracterizaba por su grotesca VERBORREA y quien con su CHACHARA embaucaba a despistados y desocupados,solo BLA,BLA,BLA y de HACER poco Le recuerda a algún candidato? PIENSE SU VOTO!",1528410307651043333,Ira,,,2023-01-09T18:39:37.170293Z,2023-01-09T18:39:37.170297Z,24.611
"#NosUnimosONosJodemos es una persona de fiar, no tiene rabo de paja, es un buen administrador y gestor, une, da confianza y hace la politica que es a favor del pueblo, es temeroso de Dios.",1528357012517621762,"{""choices"": [""Alegría"", ""Otra""]}",,,2023-01-09T18:36:04.972206Z,2023-01-09T18:36:04.972210Z,62.464
Y a este mk quien lo invito? #ElDebateDefinitivo,1528932196949663745,"{""choices"": [""Sorpresa"", ""Otra""]}",,,2023-01-10T18:44:39.562645Z,2023-01-10T18:44:39.562649Z,13.297
Fico en el medio cuando Petro y Fajardo se encendieron por el tema de la financiacion de las pensiones  #ElDebateDefinitivo https://t.co/h3Syap7obf,1528931365177147392,Otra,,,2023-01-10T18:44:23.467625Z,2023-01-10T18:44:23.467629Z,4.241
"Fico acaba de demostrar que no sirve ni para hacer una pregunta, le dan la oportunidad de hacerle una pregunta a Fajardo y va y le pregunta por el tema que se ha pasado hablando durante todo el debate.. #ElDebateDefinitivo",1528929360719355904,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-10T18:44:16.245398Z,2023-01-10T18:44:16.245401Z,8.208
"#ElDebateDefinitivo Cómo es que a uno le preguntan si Ajiaco o bandeja paisa, pero si es muy difícil esa entonces que escoja entre Bogotá y Medellín jajaja pero al otro candidato si se le encara con que si pondrá o no impuestos a las Iglesias.",1528924229692956673,Otra,,,2023-01-10T18:43:57.841547Z,2023-01-10T18:43:57.841554Z,1.256
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,Otra,,,2023-01-10T18:43:01.252643Z,2023-01-10T18:43:01.252647Z,10.528
Lo mejor de #ElDebateDefinitivo es mi cuñado pensando que el moderador era Rodolfo.,1528921538090655744,Otra,,,2023-01-10T18:42:27.784852Z,2023-01-10T18:42:27.784856Z,8.543
"Federico: bueno dos cosas • Cuando fui alcalde de Medellín • Los consejos que mi papá me daba  Fin, gracias por su atención que gran debate   #ElDebateDefinitivo",1528919115775238144,Otra,,,2023-01-10T18:41:53.276176Z,2023-01-10T18:41:53.276180Z,15.928
#ElDebateDefinitivo conclusión: @sergio_fajardo es un completo idiota...de verdad que si no pierde votos hoy...la gente es muy tonta!.,1528918181888270337,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-10T18:41:34.378731Z,2023-01-10T18:41:34.378734Z,7.357
"No hay nada definido, votemos con libertad por la persona que tiene las mejores propuestas, con @sergio_fajardo   Colombia cambiará, no dejarse llevar por las encuestas, a votar el domingo #ElDebateDefinitivo #YoVotoPorFajardo por la colombia que queremos!!!!! https://t.co/cCFQPRpRtQ",1528917531565731840,Otra,,,2023-01-10T18:41:11.754842Z,2023-01-10T18:41:11.754846Z,7.789
"Fico y su micrófono escondido en su sede de campaña, hmmmmmya jajajaja  #ElDebateDefinitivo",1528914947845021696,Otra,,,2023-01-10T18:40:28.475824Z,2023-01-10T18:40:28.475828Z,9.555
"#DebateElTiempoSemana  @sergio_fajardo tiene toda la razón cuando dice :” yo no inspiro nada”, sus posturas siguen siendo respuestas que buscan no molestar a nadie y mostrarse éticamente correcto, pero son eso, nada  #ElDebateDefinitivo  #Colombia",1528915145300353025,Otra,,,2023-01-10T18:40:04.181264Z,2023-01-10T18:40:04.181268Z,26.898
"#EldebateDefinitivo en Chile no ha pasado nada...antes se aumento el salario mínimo en %mas alto de la historia,la gente va a votar por una nueva Constitución, Boric fue elegido dentro de los 100 más influyentes del mundo en Forbes",1528915216079065088,Otra,,,2023-01-10T18:39:33.583702Z,2023-01-10T18:39:33.583709Z,8.658
Fico se enfanga con lo del perdón social. Ya lo verán. Petro si ha estudiado el tema. #ElDebateDefinitivo,1528915471323521026,Otra,,,2023-01-10T18:39:19.696382Z,2023-01-10T18:39:19.696385Z,20.93
"#ElDebateDefinitivo ha sido de lejos el peor que se ha hecho, los moderadores no tienen nada de autoridad y no se entiende el orden en lo absoluto.   @RevistaSemana nada de seriedad, que horror.",1528911745108123650,"{""choices"": [""Ira"", ""Asco""]}",,,2023-01-10T18:38:55.288985Z,2023-01-10T18:38:55.288990Z,10.17
