updated_at	annotator	relevancia	ironia	id	text	annotation_id	lead_time	emocion	answer	sentimento	created_at	tweet_id
2023-04-06T15:30:32.172069Z	1	Si	No	1999	En mi casa esta prohibido hablar de política, por múltiples diferencias, pero por aquí, QUE VIVA PETRO!!! #PetroPresidenteEnPrimera #PetroEsElCambio	525	24.924	Si		{"choices": ["Admiración", "Confianza"]}	2023-04-06T15:30:32.172010Z	1530721489607176193
2023-04-06T15:30:43.568472Z	1	Si	No	2000	Hoy inicia el cambio, porque quiero y merezco vivir sabroso #PetroPresidenteEnPrimera	526	11.051	Si		{"choices": ["Admiración", "Confianza"]}	2023-04-06T15:30:43.568441Z	1530805343311347714
2023-04-06T15:30:56.676136Z	1	Si	No	2001	#PetroPresidenteEnPrimera  porque ya es hora de reconciliar, producir, y crecer, Latinoamérica potencia mundial, creceremos con el apoyo adecuado	527	7.111	Si		{"choices": ["Admiración", "Sorpresa"]}	2023-04-06T15:30:56.676070Z	1530860123043799040
2023-04-06T15:32:04.830419Z	1	Si	Si	2002	Ya casi se le acaban las pasantías a Ivan Duque.  #PetroPresidenteEnPrimera	528	67.833	Si		{"choices": ["Alegria", "Agrado"]}	2023-04-06T15:32:04.830352Z	1530866104045903878
2023-04-06T15:32:11.532196Z	1	Si	No	2003	Hoy es el día en que debemos cambiar la historia !!!!! A despertar COLOMBIA 🇨🇴!!!!! #PetroPresidenteEnPrimera !!!!!!	529	6.295	Si		{"choices": ["Admiración", "Confianza"]}	2023-04-06T15:32:11.532163Z	1530881792886071296
2023-04-06T15:32:20.573208Z	1	Si	No	2004	Tengo tanta ilusión y ansiedad, quiero cerrar por un momento los ojos y al despertar saber que #PetroPresidenteEnPrimera	530	8.773	Si		{"choices": ["Admiración", "Confianza"]}	2023-04-06T15:32:20.573179Z	1530893502871228416
2023-04-06T15:33:03.218521Z	1	Si	No	2005	@NubiadelCD @crisr3461 Llego el día por favor deje la pereza levántese temprano y salga a votar no deje el destino del País en manos de otros, su voto si decide.......... 🇨🇴🇨🇴🇨🇴🥑🥑🐝🐝 #ColombiaConPetro #YoVotoPetroPresidente #PetroPresidenteEnPrimera #ElCambioEnPrimera	531	42.35	Si		Confianza	2023-04-06T15:33:03.218473Z	1530899867526103040
2023-04-06T15:33:14.969922Z	1	Si	No	2006	Ya hice la tarea, ustedes ya? #PetroPresidenteEnPrimera	532	11.345	Si		{"choices": ["Alegria", "Confianza"]}	2023-04-06T15:33:14.969879Z	1530908366930862081
2023-04-06T15:33:24.295285Z	1	Si	No	2007	Hoy Todos Unidos Con #Petro El Cambio Comienza Cuando Todos Tomemos Conciencia Y Sepamos Por Quien Votar Nuestro #PetroPresidenteEnPrimera 🙌🙏✨	533	8.984	Si		{"choices": ["Admiración", "Confianza"]}	2023-04-06T15:33:24.295220Z	1530916513259061252
2023-04-06T15:33:41.690823Z	1	Si	No	2008	Como jóvenes  debemos demostrar con responsabilidad el inconformismo, de los últimos meses. Salgamos a votar por un cambio en primera.  #PetroPresidenteEnPrimera	534	17.09	Si		Confianza	2023-04-06T15:33:41.690773Z	1530933413171052547
