sentimento	created_at	emocion	annotator	lead_time	relevancia	updated_at	annotation_id	text	tweet_id	ironia	id
Alegria	2023-03-29T20:59:20.679155Z	Si	1	148.317	Si	2023-03-29T20:59:20.679192Z	504	En mi casa esta prohibido hablar de política, por múltiples diferencias, pero por aquí, QUE VIVA PETRO!!! #PetroPresidenteEnPrimera #PetroEsElCambio	1530721489607176193	No	3997
Alegria	2023-03-29T21:00:39.848555Z	Si	1	78.707	Si	2023-03-29T21:00:39.848601Z	505	Hoy inicia el cambio, porque quiero y merezco vivir sabroso #PetroPresidenteEnPrimera	1530805343311347714	No	3998
Confianza	2023-03-29T21:01:05.481048Z	Si	1	25.188	Si	2023-03-29T21:01:05.481090Z	506	#PetroPresidenteEnPrimera  porque ya es hora de reconciliar, producir, y crecer, Latinoamérica potencia mundial, creceremos con el apoyo adecuado	1530860123043799040	No	3999
{"choices": ["Desagrado", "Alegria"]}	2023-03-29T21:01:33.435747Z	Si	1	27.525	Si	2023-03-29T21:01:33.435788Z	507	Ya casi se le acaban las pasantías a Ivan Duque.  #PetroPresidenteEnPrimera	1530866104045903878	Si	4000
{"choices": ["Alegria", "Confianza"]}	2023-03-29T21:02:14.877252Z	Si	1	41.03	Si	2023-03-29T21:02:14.877288Z	508	Hoy es el día en que debemos cambiar la historia !!!!! A despertar COLOMBIA 🇨🇴!!!!! #PetroPresidenteEnPrimera !!!!!!	1530881792886071296	No	4001
{"choices": ["Incertidumbre", "Alegria"]}	2023-03-29T21:02:48.822832Z	Si	1	33.539	Si	2023-03-29T21:02:48.822894Z	509	Tengo tanta ilusión y ansiedad, quiero cerrar por un momento los ojos y al despertar saber que #PetroPresidenteEnPrimera	1530893502871228416	No	4002
Miedo	2023-03-29T21:05:36.747499Z	Si	1	167.519	Si	2023-03-29T21:05:36.747541Z	510	@NubiadelCD @crisr3461 Llego el día por favor deje la pereza levántese temprano y salga a votar no deje el destino del País en manos de otros, su voto si decide.......... 🇨🇴🇨🇴🇨🇴🥑🥑🐝🐝 #ColombiaConPetro #YoVotoPetroPresidente #PetroPresidenteEnPrimera #ElCambioEnPrimera	1530899867526103040	No	4003
	2023-03-29T21:06:05.430660Z	No	1	28.253	Si	2023-03-29T21:06:05.430708Z	511	Ya hice la tarea, ustedes ya? #PetroPresidenteEnPrimera	1530908366930862081		4004
Confianza	2023-03-29T21:06:21.464885Z	Si	1	15.629	Si	2023-03-29T21:06:21.464940Z	512	Hoy Todos Unidos Con #Petro El Cambio Comienza Cuando Todos Tomemos Conciencia Y Sepamos Por Quien Votar Nuestro #PetroPresidenteEnPrimera 🙌🙏✨	1530916513259061252	No	4005
Confianza	2023-03-29T21:06:41.853993Z	Si	1	19.977	Si	2023-03-29T21:06:41.854028Z	513	Como jóvenes  debemos demostrar con responsabilidad el inconformismo, de los últimos meses. Salgamos a votar por un cambio en primera.  #PetroPresidenteEnPrimera	1530933413171052547	No	4006
Decepción	2023-03-29T21:06:59.013989Z	Si	1	16.784	Si	2023-03-29T21:06:59.014031Z	514	A esta hora hay mucha juventud que aún ha ido a votar. Las mesas de los jóvenes, las últimas, están solas. Vacías. Muy poca afluencia. Que pasa muchachos? Retwitéalo. #PetroPresidenteEnPrimera #ElCambioEnPrimera	1530947059393695750	No	4007
Confianza	2023-03-29T21:07:17.602022Z	Si	1	18.183	Si	2023-03-29T21:07:17.602059Z	515	Hoy votamos por la dignidad #PetroPresidenteEnPrimera	1530948028466614274	No	4008
Confianza	2023-03-29T21:07:27.431216Z	Si	1	9.474	Si	2023-03-29T21:07:27.431255Z	516	Mi nombre es Catalina Suárez soy maestra de primaria en la ciudad de Bogotá mi voto es por @petrogustavo porque quiero un mejor país para mis estudiantes. Quiero que ellos puedan vivir sabroso. #PetroPresidenteEnPrimera	1530953208293728261	No	4009
Alegria	2023-03-29T21:07:41.553128Z	Si	1	13.749	Si	2023-03-29T21:07:41.553172Z	517	Familia que vota unida por el #PactoHistorico permanece unida y con valores!  Hasta que la dignidad se haga costumbre!  #PetroPresidenteEnPrimera  #PetroPresidente2022	1530967614331174912	No	4010
