updated_at	relevancia	created_at	lead_time	answer	emocion	ironia	sentimento	annotation_id	id	tweet_id	annotator	text
2023-03-13T18:37:17.612636Z	Si	2023-03-13T18:37:17.612597Z	17.766		Si	No	Confianza	513	1999	1530721489607176193	1	En mi casa esta prohibido hablar de política, por múltiples diferencias, pero por aquí, QUE VIVA PETRO!!! #PetroPresidenteEnPrimera #PetroEsElCambio
2023-03-13T18:37:23.593527Z	Si	2023-03-13T18:37:23.593484Z	5.654		Si	No	Confianza	514	2000	1530805343311347714	1	Hoy inicia el cambio, porque quiero y merezco vivir sabroso #PetroPresidenteEnPrimera
2023-03-13T18:37:28.796101Z	Si	2023-03-13T18:37:28.796058Z	4.869		Si	No	Confianza	515	2001	1530860123043799040	1	#PetroPresidenteEnPrimera  porque ya es hora de reconciliar, producir, y crecer, Latinoamérica potencia mundial, creceremos con el apoyo adecuado
2023-03-13T18:37:41.392098Z	Si	2023-03-13T18:37:41.392054Z	12.275		Si	Si	Desagrado	516	2002	1530866104045903878	1	Ya casi se le acaban las pasantías a Ivan Duque.  #PetroPresidenteEnPrimera
2023-03-13T18:37:46.315691Z	Si	2023-03-13T18:37:46.315651Z	4.578		Si	No	Confianza	517	2003	1530881792886071296	1	Hoy es el día en que debemos cambiar la historia !!!!! A despertar COLOMBIA 🇨🇴!!!!! #PetroPresidenteEnPrimera !!!!!!
2023-03-13T18:37:50.143957Z	Si	2023-03-13T18:37:50.143900Z	3.471		Si	No	Confianza	518	2004	1530893502871228416	1	Tengo tanta ilusión y ansiedad, quiero cerrar por un momento los ojos y al despertar saber que #PetroPresidenteEnPrimera
2023-03-13T18:37:54.624951Z	Si	2023-03-13T18:37:54.624865Z	4.16		Si	No	Confianza	519	2005	1530899867526103040	1	@NubiadelCD @crisr3461 Llego el día por favor deje la pereza levántese temprano y salga a votar no deje el destino del País en manos de otros, su voto si decide.......... 🇨🇴🇨🇴🇨🇴🥑🥑🐝🐝 #ColombiaConPetro #YoVotoPetroPresidente #PetroPresidenteEnPrimera #ElCambioEnPrimera
2023-03-13T18:37:56.882581Z	Si	2023-03-13T18:37:56.882538Z	1.955		Si	No	Confianza	520	2006	1530908366930862081	1	Ya hice la tarea, ustedes ya? #PetroPresidenteEnPrimera
2023-03-13T18:37:59.986472Z	Si	2023-03-13T18:37:59.986429Z	2.716		Si	No	Confianza	521	2007	1530916513259061252	1	Hoy Todos Unidos Con #Petro El Cambio Comienza Cuando Todos Tomemos Conciencia Y Sepamos Por Quien Votar Nuestro #PetroPresidenteEnPrimera 🙌🙏✨
2023-03-13T18:38:03.276545Z	Si	2023-03-13T18:38:03.276463Z	2.999		Si	No	Confianza	522	2008	1530933413171052547	1	Como jóvenes  debemos demostrar con responsabilidad el inconformismo, de los últimos meses. Salgamos a votar por un cambio en primera.  #PetroPresidenteEnPrimera
2023-03-13T18:38:12.777818Z	Si	2023-03-13T18:38:12.777734Z	9.162		Si	No	{"choices": ["Decepción", "Incertidumbre"]}	523	2009	1530947059393695750	1	A esta hora hay mucha juventud que aún ha ido a votar. Las mesas de los jóvenes, las últimas, están solas. Vacías. Muy poca afluencia. Que pasa muchachos? Retwitéalo. #PetroPresidenteEnPrimera #ElCambioEnPrimera
2023-03-13T18:38:14.856726Z	Si	2023-03-13T18:38:14.856691Z	1.722		Si	No	Confianza	524	2010	1530948028466614274	1	Hoy votamos por la dignidad #PetroPresidenteEnPrimera
2023-03-13T18:38:19.645017Z	Si	2023-03-13T18:38:19.644936Z	4.361		Si	No	Confianza	525	2011	1530953208293728261	1	Mi nombre es Catalina Suárez soy maestra de primaria en la ciudad de Bogotá mi voto es por @petrogustavo porque quiero un mejor país para mis estudiantes. Quiero que ellos puedan vivir sabroso. #PetroPresidenteEnPrimera
2023-03-13T18:38:24.744045Z	Si	2023-03-13T18:38:24.743962Z	4.644		Si	No	Confianza	526	2012	1530967614331174912	1	Familia que vota unida por el #PactoHistorico permanece unida y con valores!  Hasta que la dignidad se haga costumbre!  #PetroPresidenteEnPrimera  #PetroPresidente2022
2023-03-13T18:39:21.718436Z	Si	2023-03-13T18:39:21.718354Z	56.517		No			527	2013	1530969262088761347	1	#PetroPresidenteEnPrimera y dejo enlace de prueba gratis a mi página 🔥en un comentario !! 🇨🇴
2023-03-13T18:39:25.586695Z	Si	2023-03-13T18:39:25.586655Z	3.473		Si	No	Confianza	528	2014	1530979188815060993	1	Gente, el cambio es ...   #PetroPresidenteEnPrimera
2023-03-13T18:39:27.851565Z	Si	2023-03-13T18:39:27.851523Z	1.86		Si	No	Confianza	529	2015	1531007994091212801	1	HOY empieza el verdadero cambio en Colombia! #PetroPresidenteEnPrimera  #ColombiaConPetro
2023-03-13T18:39:34.255963Z	Si	2023-03-13T18:39:34.255920Z	5.992		Si	No	Confianza	530	2016	1531012834251145216	1	¡Que nervios! A 30 minutos que se vaya la luz en todo el país, se apaguen las emisoras y amanezcamos con una contundente victoria de @FicoGutierrez   #EleccionesColombia  #Elecciones2022  #EleccionesColombia2022  #EleccionesPresidenciales   #PetroPresidenteEnPrimera
2023-03-13T18:39:39.902201Z	Si	2023-03-13T18:39:39.902155Z	5.269		Si	No	Confianza	531	2017	1531026612631773185	1	@FisicoImpuro @MonoGutierrezl Que emoción!! Vamos en el 5 boletín y ya se me aguán los ojos!! #PetroPresidenteEnPrimera ya tengo la botella de vino lista y a las 6pm voy a poner el Himno Nacional!!
2023-03-13T18:39:45.608894Z	Si	2023-03-13T18:39:45.608830Z	5.296		Si	No	{"choices": ["Alegria", "Confianza"]}	532	2018	1531028825550749699	1	Ya vamos cogiendo ventaja gracias a Dios. #PetroPresidenteEnPrimera
2023-03-13T18:39:53.470671Z	Si	2023-03-13T18:39:53.470591Z	7.408		Si	No	{"choices": ["Desagrado", "Confianza"]}	533	2019	1530904938410393600	1	Hoy es el día, todos a cumplir nuestra obligación histórica por el país que queremos.  Sabemos que el narcotraFICO en pleno ha inundado de dinero, presiones y artimañas estas elecciones para continuar la matanza  Hoy digo NO MAS‼️  #PetroPresidente2022 #PetroPresidenteEnPrimera
2023-03-13T18:40:15.446351Z	No	2023-03-13T18:40:15.446270Z	21.428	Falta contexto				534	2020	1530904857447628800	1	@VickyDavilaH Cuál hueco. En el que hemos estado durante 20 años! #PetroPresidente2022
2023-03-13T18:40:23.520743Z	Si	2023-03-13T18:40:23.520703Z	7.516		Si	No	Confianza	535	2021	1530973204638052352	1	Logré convencer a mi familia y a los amigos de mi hermana. Todos votamos #PetroPresidente2022  🫶🏼🫶🏼
2023-03-13T18:40:29.715058Z	Si	2023-03-13T18:40:29.714975Z	5.786		Si	No	{"choices": ["Admiración", "Confianza"]}	536	2022	1530993760108175361	1	Listo @petrogustavo, yo ya hice lo mío, ahora es tu turno de sacar adelante tu magnífico programa de gobierno con un extraordinario equipo de colaboradores y un pueblo que te apoya y espera de ti lo mejor, uniendo nuestro esfuerzo al tuyo. #PetroPresidente2022 #ColombiaConPetro
2023-03-13T18:40:35.041030Z	Si	2023-03-13T18:40:35.040984Z	4.952		Si	No	Confianza	537	2023	1531004254902579200	1	Que orgullo, mis hijos mi mamá mis 4 hermanos, mi cuñada y yo ya votamos todos por el cambio!! Vamos por Petro #PetroPresidente2022 #PetroPresidenteEnPrimera
2023-03-13T18:40:40.944160Z	Si	2023-03-13T18:40:40.944090Z	5.471		Si	No	{"choices": ["Alegria", "Confianza"]}	538	2024	1531032833829089280	1	Hoy me tocó ser jurado de votación, y en mi mesa ganó Petro con más de la mitad de los votantes 🥳 #PetroPresidente2022
2023-03-13T18:40:54.258825Z	Si	2023-03-13T18:40:54.258747Z	12.858		Si	No	{"choices": ["Incertidumbre", "Confianza"]}	539	2025	1531048643385597958	1	No puede ser que el miedo y la ignorancia se impongan, ganaremos en segunda vuelta !!! #PetroPresidente2022
