text,labels
"#NosUnimosONosJodemos #NosUnimosONosJodemos  Vamos juntos por el cambio, mire el miedo que le tienen.  @petrogustavo Mi presidente","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@tobonsanin Otra vez este viejo estúpido politiquero, estamos es llevados cuando creemos  viejo decrépito de estos va hacer la solución para Colombia, ayudando a escoger corruptos como #quintero en MEDELLIN #PetroElPatronDelMal #FedericoEsColombia #NosUnimosONosJodemos","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
Sin importar encuestas como en el plebiscito juntos por Colombia el 29 nos vemos #FedericoImparable #NosUnimosONosJodemos #FedericoEsColombia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Este es el Presidente que nos merecemos, recorrió el país entero, escuchó, expresó cariño y nos contagió la esperanza #FedericoEsColombia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Por mi familia, por la democracia y las libertades. #FedericoEsColombia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Por el bien de Colombia #FedericoEsColombia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"FICO es desarrollo, FICO es progreso #FedericoEsColombia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Parece que no hemos entendido que necesita mantenerse vigente a base de mentiras #FedericoEsColombia,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#FedericoEsColombia #FedericoEsColombia El otro, el secuestrador, lo peor que podría pasarle a Colombia. Se imaginan al secuestrador y a king kong representando a Colombia ante el mundo.","[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Mi voto en primera es por Federico Gutiérrez #FedericoEsColombia  #FicoPresidente2022 .,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Federico es el presidente que Colombia necesita😍🙏 #FedericoEsColombia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"A 7 días de las elecciones presidenciales en Colombia, Gustavo Petro está asustado y Federico Gutiérrez luce seguro #FedericoEsColombia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cuente con los votos de toda mi familia aquí en Manrique Medellín A.#FedericoEsColombia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#FedericoEsColombia  Ganaremos y uniremos a Colombia.   Tu voto, el mío, el d todos es importante y decisivo.  Defendamos nuestra Democracia, nuestras libertades, no podemos caer en un abismo sin salida q nos empobrece mucho +.   Votemos bien, votemos FICO.  #FicoPresidente2022","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@DanielSamperO #LoPeorDeEstasElecciones La falta de ética de periodistas y firmas encuestadoras que manipularon a lo largo de la misma la opinión pública.  El tercer poder es la Periodictadura.  Lo peor además son los extremos políticos disfrazados de ideologías por *cogerse el poder.,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#LoPeorDeEstasElecciones  el kakas como palo e gallinero asustado por q le suspendan al registrador comprado y la rancia asustada por los láser q ellos mismos usan en las protestas, todas las semanas se inventan un golpe de estado payasos saben q no van a ganar #PetroEsUnPeligro","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#LoPeorDeEstasElecciones es la división de la gente  de este país esta gente y cosas ya que pasan,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia por la paz de este país,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia estoy seguro que será el comienzo para escribir el futuro en una patria más justa y de oportunidades para todos.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
También logré seducir dos votos más #MiVotoEsPetroYFrancia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia Hasta que la dignidad se haga costumbre 💪🏻💪🏻💪🏻🇨🇴🇨🇴🇨🇴🇨🇴,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Pueden decir toda la mentira que quieran, apelar al miedo si quieren, perooo👉 #MiVotoEsPetroYFrancia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia  el pacto es una sumar de fuerzas que quiere comenzar un cambio. Años de esfuerzo de muchas personas de verá reflejado el próximo domingo.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia en primera vuelta vamos a ganar,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#MiVotoEsPetroYFrancia, así tendremos autonomía de poderes, ellos respetan las cortes y toda la justicia.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Hermoso ver el festival por el Cambio en total lleno la Plaza de Bolívar en Bogotá. #MiVotoEsPetroYFrancia 💛💙❤️💚💜,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@Uriasv @Noti_Space #MiVotoEsPetroYFrancia  #MiVotoEsPetroYFrancia   Para nunca más los padres tengan que enterrar a sus hijos  Para que la humanidad difnifique a todos sin estratos sociales  Para terminar el servicio Militar obligatorio   Para que la Salud Educación vivienda sea para todos,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
si no es ahora no es nunca por eso #MiVotoEsPetroYFrancia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#MiVotoEsPetroYFrancia En primera vuelta, el cambio en primera .","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Entonces, ya no es ""amor eficaz"", sino ""amor político"". Bueno, al fin y al cabo amor es amor.  #MiVotoEsPetroYFrancia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@alexapo74206987 @GustavoBolivar En esto se fue la plata que se robaron cuando tumbaron la ley de garantías. #MiVotoEsPetroYFrancia,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#MiVotoEsPetroYFrancia siiiiiii llegó el momento de hacer Historia, Colombia va a cambiar!! Seremos potencia mundial de la Vida y el progreso!! Salud, estudio, trabajo digno. #ElCambioEnPrimera #PetroPresidenteEnPrimeraVuelta","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#MiVotoEsPetroYFrancia mi voto es por la vida, por la libertad,por la paz🕊️ Mi voto es por el cambio.Dios permita llegue @petrogustavo y @FranciaMarquezM a la presidencia y vicepresidencia.Ansiosa de que llegue 29 de mayo para salir a votar #elcambioesenprimera #PetroPresidente","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
@darcyquinnr Esta desesperada. Jajajajaj que no se le note tanto el miedo. #MiVotoEsPetroYFrancia,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#MiVotoEsPetroYFrancia   Son los únicos que demuestran las competncias para gobernar este país; estan lejos de la corrupción, luchan por nuestros derechos y tienen propuestas claras.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia porque son los únicos que encarnan el verdadero cambio que necesitamos la mayoría de los colombianos.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#MiVotoEsPetroYFrancia Colombia 🇨🇴 adolorida, quiere un cambio. Hoy esta imagen lo evidencia.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Ya me coloque al día con todos los progresistas que me siguen, y vamos todos con #CambioEnPrimera #ProgresistaSigueProgresista #MiVotoEsPetroYFrancia","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MiVotoEsPetroYFrancia y el de la mayoría de mi familia también. El cambio en primera.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#UnTramposoEs todos los que juntas en un Pacto para apoderarsen de un país próspero y que Lucha día a día por salir adelante #PetroNuncaSeráPresidente,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
@lcvelez #UnTramposoEs un periodista que manipula sus preguntas a favor de su candidato preferido.,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"@ELTIEMPO @IvanDuque @bbcmundo El pobre infeliz creció escuchando que todo lo que hacía, lo hacía bien. Hasta las cagadas se las aplaudieron. Y miren, hicieron de él un idiota empoderado, sin un atisbo de sensatez ni vergüenza. Definitivamente, la mediocridad y el conformismo imperan.  #UnTramposoEs","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#UnTramposoEs    Rodolfo  Hernández    disque a luchar contra la corrupción   y el es  un  corrupto,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#UnTramposoEs El que se hace llamar anticorrupción y espera juicio por corrupto Vitalogic @ingrodolfohdez,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#FedericoEsColombia y el pueblo lo sabe.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"@andresguerraho @Saramilena69 @AlvaroUribeVel Uribe No está Presente fisicam/ pero esta en Nuestros Corazones, lo demostramos cuando #FedericoEsColombia Agradeció el Apoyo y Acompañamiento del @CeDemocratico la Ovación fue ensordecedora. NO tenemos como Agradecerle al Presi Uribe todo lo que hace y sigue haciendo por C/bia.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Gran manifestación en Medellín.  #FedericoEsColombia,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#FedericoEsColombia Patán ignorante, es el continuismo del narco uribismo, Duque 2.0,Uribe 3.0. Narcotra-FICO.","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
He leído el plan de gobierno de FICO y no existen dudas que será el mejor presidente en la historia de este país 🇨🇴 #FedericoEsColombia #SantandereanosConFico @FicoGutierrez,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#MeInquieta que la w no crea en la cancelación de elecciones, les recuerdo que tampoco creímos la jugadita con la ley de garantías. En este país todo puede pasar.","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Que Duque haga una jugadita con Notarios, proc uraduria, fiscalia y vicepresidente para robar elecciones #MeInquieta","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
#MeInquieta Que la w no pueda advertir la probabilidad de aplazamiento de elecciones en un gobierno tan corrupto y lleno de jugaditas.,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#MeInquieta Andres Pastrana.  EL  EX   MAS TOXICO,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#MeInquieta la polarización y la miseria profesional que demuestran muchos representantes  del cuarto poder..se perdió la imparcialidad..la objetividad..la dignidad y el respeto por dejar actuar a los que exponwn intereses personales por encima de la etica...,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
"#ElDebateDefinitivo Compadre PETRO, ¿Ira usted al debate? En caso de ser positivo: Alerta Máxima con los rayos láser de Vicky Dávila.  Que Dios le acompañe con su espalda e ilumine, para enfrentar esa jauría de Lobos.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"En #ElDebateDefinitivo todos los candidatos metiendoles los dedos en la boca, diciendo que acabarán con la corrupción. Señores, es más fácil acabar con las drogas que con la corrupción. Maduren. 🤦🏻🤡","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"Me perdonan pero a @petrogustavo nadie le gana en conocimiento de este país.   Pum, Pam! Toma! Cepillo! Petro a todos.   #ElDebateDefinitivo","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
JAKALSHSKAKALS se re mato pensando la pregunta y el Petro fue re   Siks 👍🏻  #ElDebateDefinitivo  #DebateElTiempoSemana,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Petro :”Uribe Uribe Uribe”  criticando el proceso de paz con los paramilitares que por debían ir a la justicia y no negociación con el gobierno…. Curioso que con los crimínales de lesa humanidad como son las FARC si es condescendiente #EldebateDefinitivo #PetroGanaDebate,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#ElDebateDefinitivo El modelo petrista ha sido probado en muchos países y, en todos ellos, ha aumentado la miseria y el sufrimiento de la gente. Fracasó en la Unión Soviética, en la China de MAO, en Cuba y VeneZuela, entre otros","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
"Alguien que le diga a @sergio_fajardo qué el debate es con datos, cifras y tanto calificativo y adjetivo de su propuesta. ¡Ya la sabemos! Que cuente algo novedoso #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
En #ElDebateDefinitivo queda claro que @sergio_fajardo es el que puede unir a Colombia.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Cómo putas llegó fico a una candidatura presidencial? Ese man no dice nada ! #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#ElDebateDefinitivo El guerrillero Petro NO tiene nada que ver con la Constitución del 91. Se quiere ganar indulgencias con Avemarías ajenas,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
"Parce ese Fico es muy nea, que pena con las neas que son todo bien todo copas, pero este se da garra. #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Haremos un Pacto Histórico Nacional alrededor de las reformas fundamentales que necesita la sociedad para convivir en paz, para que esté unida en la diversidad y la diferencia.    #ElDebateDefinitivo  #PetroGanaDebate","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Fico: ¿puedo rematar? Petro: terminar, puede terminar.  La costumbre 😜  #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#ElDebateDefinitivo el dialogo es definitivo: Petro,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"El debate de hoy: flojo, flojo. El único que trató de ir más allá de la confrontación fue Sergio Fajardo. ¿En serio van a regalarle su voto a los mismos de siempre?   #ElDebateDefinitivo","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
#ElDebateDefinitivo   Fajardo dice: voy donde me convoquen...  Lo convocó @riosvivoscol... ¡NO FUE!  Lo convocaron las madres de Soacha... ¡NO FUE!  Eres un #Falsardo,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"Vicky hizo esa pregunta a Rodolfo solo porque sabe que le está respirando en la nuca a alias ""Fico"" #EldebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"En #ElDebateDefinitivo noté algo muy diciente:  Sólo cuando hablaba un candidato (no diré quién) aproveché para ir a hacer pipí, acomodar papeles, llevar la loza a la cocina y vainas así...","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Lo mejor del #ElDebateDefinitivo ha sidoo #RodolfoPresidente. Que intervenciones tan magistrales.,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"#ElDebateDefinitivo si cada cuatro años es lo mismo, prometen llegan y todo es peor ¿Cuál es la garantía de las personas que en estas elecciones está la esperanza de Colombia?","[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]"
"el debate sin propuestas y de alimento para el morbo, moderadores flojos y acomodados, como si eso sorprendiera... #EldebateDefinitivo","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
#ElDebateDefinitivo Y qué...  ¿ya les van a poner a hacer cabecitas?,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
La pregunta:  ¿Colombia es un país machista? Fico: No  Fajardo: Si Petro: Si  Rodolfo: En el baño   #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#ElDebateDefinitivo @sergio_fajardo  fue a vender ilusiones y convencer no a debatir no propone sólo dice redundancias, me sorprende profe sera que de proyectos no sabe tanto como de licenciatura...","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"#ElDebateDefinitivo Se ve la clase y la decencia de Federico, mientras los otros cada uno habla por su lado buscando el bien individual, Federico sin odio, envidia y ningún resentimiento. Los otros candidatos repitiendo y siguen en las mismas, no han aprendido nada.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Otro poema en #ElDebateDefinitivo  Va a invitar a Nicolás Maduro a la posesión si gana? Y contesta Petro: No... el que invita es Duque. Luego, restablecería relaciones diplomáticas y comerciales   Guauuu...!!!","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"TE DARE GARANTIAS EN LA OPOSICIÓN OME GUSTAVO EXPRESA EL CANDIDATO @FicoGutierrez  QUE ACEPTA QUE YA PERDIO, GRANDE.  #ElDebateDefinitivo #PetroGanaDebate","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Si este debate hablara, diría, como @sergio_fajardo: ""Yo no inspiro nada"" #ElDebateDefinitivo","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"El profesor es Fajardo, pero el que educa cada vez que habla es Petro #ElDebateDefinitivo My president ❤️","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Se le bajaron los Uribistas a Fico. Por eso se van con el @ingrodolfohdez Fico dice dizque no al glifosato, siii como no. #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Hasta clase de matemáticas le terminó dando Petro a Fajardo jajajajajajajajajaj mk ese fajardo está que llora muero  #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Lo mejor que hizo @petrogustavo fue volver a los debates.   Da cátedra en este momento.   #ElDebateDefinitivo  #DebateElTiempoSemana,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"Y Rodolfo? En casa, no tiene con qué debatir. Pa' el todas las respuestas es combatir la corrupción a punta de madrazos.  #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Vea, @FicoGutierrez se acaba de quedar sin nada que hacer en #ElDebateDefinitivo.  @petrogustavo de nuevo le ha dado una cátedra de economía y desarrollo al país. #PetroGanaDebate   #DebateElTiempoSemana","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
#ElDebateDefinitivo Fico ¿50 billones de dónde? Que tipo tan bruto. Tergiversando la realidad como siempre.,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Fico se aprende lo que va a decir antes de los debates cómo hacía Duque hace 4 años, hablando por hablar luego de esa peinada de Petro al profesor 😂 #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"En #ElDebateDefinitivo Fajardo con sus preguntas hizo subir de votos a @petrogustavo en los votos de los indecisos. La ausencia del ingeniero ayudó a Petro, Fico pierde sólo. #PetroGanaDebate, es el único candidato que gana con argumentos.","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
Comenzo el entrampamiento público en el debate presidencial. Ya ni disimulan. #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"#ElDebateDefinitivo petro no supera a Uribe Vélez en su intervención, lo primero que le sale de la boca es Uribe. Así gana votos; es su bandera del engaño, lo convirtió en el malo del paseo cuando los violentos fueron otros !!","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
A Vicky Dávila le fue mejor conduciendo el debate hace 4 años. Cuando no fue nadie.  #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"#ElDebateDefinitivo @petrogustavo no tiene competencia, definitivamente es el ganador. Gana con argumentos claros y bueno, al parecer le va a enseñar a sumar a Fajardo.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Fajardo quedo tan peinado que ya se quiere ir #ElDebateDefinitivo,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]"
"nadie pero de verdad nadie, Fico:  Cuando yo fui alcalde   #ElDebateDefinitivo","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
"Conclusión del Debate, quiero tener la paciencia de Petro para aguantar a gente como Fico  #ElDebateDefinitivo","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
