annotator	created_at	tweet_id	sentimento	text	answer	id	ironia	emocion	annotation_id	updated_at	relevancia	lead_time
1	2023-02-14T21:10:53.669641Z	1528216296147533824	Confianza	#NosUnimosONosJodemos #NosUnimosONosJodemos  Vamos juntos por el cambio, mire el miedo que le tienen.  @petrogustavo Mi presidente		1	No	Si	1	2023-02-14T21:10:53.669707Z	Si	42.798
1	2023-02-14T21:13:25.819685Z	1528425111078019072	Asco	@tobonsanin Otra vez este viejo estúpido politiquero, estamos es llevados cuando creemos  viejo decrépito de estos va hacer la solución para Colombia, ayudando a escoger corruptos como #quintero en MEDELLIN #PetroElPatronDelMal #FedericoEsColombia #NosUnimosONosJodemos		2	No	Si	2	2023-02-14T21:13:25.819752Z	Si	42.81
1	2023-02-14T21:13:38.594034Z	1528451337087762433	Confianza	Sin importar encuestas como en el plebiscito juntos por Colombia el 29 nos vemos #FedericoImparable #NosUnimosONosJodemos #FedericoEsColombia		3	No	Si	3	2023-02-14T21:13:38.594082Z	Si	12.411
1	2023-02-14T21:14:25.309635Z	1528454891634663428	Decepción	@FranciaMarquezM Ahora q es a ud si le parece grave? Y cuando sus borregos de la primera linea lo hacian contra nuestros policias q? Chevere cuando es para otros pero grave cuando es hacia mi? 🤥 #PetroElPatronDelMal #NosUnimosONosJodemos		4	No	Si	4	2023-02-14T21:14:25.309685Z	Si	46.371
1	2023-02-14T21:26:20.704868Z	1528336411451133955		Este es el Presidente que nos merecemos, recorrió el país entero, escuchó, expresó cariño y nos contagió la esperanza #FedericoEsColombia		5	No	Si	5	2023-02-14T21:26:20.704970Z	Si	186.921
1	2023-02-14T21:26:47.293586Z	1528335860470620160	Confianza	Por mi familia, por la democracia y las libertades. #FedericoEsColombia		6	No	Si	6	2023-02-14T21:26:47.293692Z	Si	26.189
1	2023-02-14T21:26:57.574081Z	1528349594152730628	Confianza	Por el bien de Colombia #FedericoEsColombia		7	No	Si	7	2023-02-14T21:26:57.574135Z	Si	9.799
1	2023-02-14T21:28:05.288282Z	1528347672683356162	Confianza	FICO es desarrollo, FICO es progreso #FedericoEsColombia		8	No	Si	8	2023-02-14T21:28:05.288353Z	Si	67.228
1	2023-02-14T21:28:16.706237Z	1528354852681699328	Desagrado	Parece que no hemos entendido que necesita mantenerse vigente a base de mentiras #FedericoEsColombia		9	No	Si	9	2023-02-14T21:28:16.706359Z	Si	11.033
1	2023-02-14T21:28:35.346065Z	1528354131680829441	{"choices": ["Desagrado", "Miedo"]}	#FedericoEsColombia #FedericoEsColombia El otro, el secuestrador, lo peor que podría pasarle a Colombia. Se imaginan al secuestrador y a king kong representando a Colombia ante el mundo.		10	No	Si	10	2023-02-14T21:28:49.018164Z	Si	26.118
1	2023-02-14T21:29:40.524756Z	1528364760273657860	Confianza	Mi voto en primera es por Federico Gutiérrez #FedericoEsColombia  #FicoPresidente2022 .		11	No	Si	11	2023-02-14T21:29:40.524906Z	Si	46.553
1	2023-02-14T21:39:33.164332Z	1528368299632910336	Confianza	Federico es el presidente que Colombia necesita😍🙏 #FedericoEsColombia		12	No	Si	12	2023-02-14T21:39:33.164402Z	Si	120.612
1	2023-02-14T21:39:52.813272Z	1528417994732339203	{"choices": ["Admiración", "Confianza"]}	A 7 días de las elecciones presidenciales en Colombia, Gustavo Petro está asustado y Federico Gutiérrez luce seguro #FedericoEsColombia		13	No	Si	13	2023-02-14T21:39:52.813349Z	Si	19.306
1	2023-02-14T21:40:18.654326Z	1528464727726252032	Confianza	Cuente con los votos de toda mi familia aquí en Manrique Medellín A.#FedericoEsColombia		14	No	Si	14	2023-02-14T21:40:18.654374Z	Si	25.482
1	2023-02-14T21:40:34.115333Z	1528473254616252417	Confianza	#FedericoEsColombia  Ganaremos y uniremos a Colombia.   Tu voto, el mío, el d todos es importante y decisivo.  Defendamos nuestra Democracia, nuestras libertades, no podemos caer en un abismo sin salida q nos empobrece mucho +.   Votemos bien, votemos FICO.  #FicoPresidente2022		15	No	Si	15	2023-02-14T21:40:34.115374Z	Si	15.095
1	2023-02-14T21:40:49.243331Z	1528373108197019648	Desagrado	@DanielSamperO #LoPeorDeEstasElecciones La falta de ética de periodistas y firmas encuestadoras que manipularon a lo largo de la misma la opinión pública.  El tercer poder es la Periodictadura.  Lo peor además son los extremos políticos disfrazados de ideologías por *cogerse el poder.		16	No	Si	16	2023-02-14T21:40:49.243439Z	Si	14.778
1	2023-02-14T21:43:06.722917Z	1528395704334528512	{"choices": ["Desagrado", "Miedo"]}	#LoPeorDeEstasElecciones  el kakas como palo e gallinero asustado por q le suspendan al registrador comprado y la rancia asustada por los láser q ellos mismos usan en las protestas, todas las semanas se inventan un golpe de estado payasos saben q no van a ganar #PetroEsUnPeligro		17	No	Si	17	2023-02-14T21:43:06.722975Z	Si	137.127
1	2023-02-14T21:43:28.157309Z	1528450896501346306		#LoPeorDeEstasElecciones “Cada colombiano es un país enemigo”: Gabriel García Márquez en #ElGeneralEnSuLaberinto		18		No	18	2023-02-14T21:43:28.157395Z	Si	21.046
1	2023-02-14T21:44:49.966511Z	1528464578564304897	Decepción	#LoPeorDeEstasElecciones es la división de la gente  de este país esta gente y cosas ya que pasan		19	No	Si	19	2023-02-14T21:44:49.966553Z	Si	81.36
1	2023-02-14T21:44:55.610659Z	1528448790646104069	Confianza	#MiVotoEsPetroYFrancia por la paz de este país		20	No	Si	20	2023-02-14T21:44:55.610713Z	Si	5.231
1	2023-02-14T21:45:12.306684Z	1528454091382333441	Confianza	#MiVotoEsPetroYFrancia estoy seguro que será el comienzo para escribir el futuro en una patria más justa y de oportunidades para todos.		21	No	Si	21	2023-02-14T21:45:12.306778Z	Si	16.259
1	2023-02-14T21:45:25.988961Z	1528457486159724545	Confianza	También logré seducir dos votos más #MiVotoEsPetroYFrancia		22	No	Si	22	2023-02-14T21:45:25.989051Z	Si	13.168
1	2023-02-14T21:45:32.214685Z	1528465857218748423	Confianza	#MiVotoEsPetroYFrancia Hasta que la dignidad se haga costumbre 💪🏻💪🏻💪🏻🇨🇴🇨🇴🇨🇴🇨🇴		23	No	Si	23	2023-02-14T21:45:32.214791Z	Si	5.759
1	2023-02-14T21:45:49.646588Z	1528470007285432321	Confianza	Pueden decir toda la mentira que quieran, apelar al miedo si quieren, perooo👉 #MiVotoEsPetroYFrancia		24	No	Si	24	2023-02-14T21:45:49.646636Z	Si	16.976
1	2023-02-14T21:47:11.192807Z	1528478218814164992	Confianza	#MiVotoEsPetroYFrancia  el pacto es una sumar de fuerzas que quiere comenzar un cambio. Años de esfuerzo de muchas personas de verá reflejado el próximo domingo.		25	No	Si	25	2023-02-14T21:47:11.192860Z	Si	81.127
1	2023-02-14T21:47:33.068419Z	1528475813280096256	Confianza	#MiVotoEsPetroYFrancia en primera vuelta vamos a ganar		26	No	Si	26	2023-02-14T21:47:33.068463Z	Si	21.514
1	2023-02-14T21:47:38.532571Z	1528483611061719041	Confianza	#MiVotoEsPetroYFrancia, así tendremos autonomía de poderes, ellos respetan las cortes y toda la justicia.		27	No	Si	27	2023-02-14T21:47:38.532616Z	Si	5.123
