text,tweet_id,sentiment_juanjo,sentiment_juanma,Confianza_juanma,Confianza_juanjo,miedo_juanma,miedo_juanjo,sorpresa_juanma,sorpresa_juanjo,tristeza_juanma,tristeza_juanjo,asco_juanma,asco_juanjo,ira_juanma,ira_juanjo,expectativa_juanma,expectativa_juanjo,alegria_juanma,alegria_juanjo,otra_juanma,otra_juanjo
"#NosUnimosONosJodemos es una persona de fiar, no tiene rabo de paja, es un buen administrador y gestor, une, da confianza y hace la politica que es a favor del pueblo, es temeroso de Dios.",1528357012517621762,"{""choices"": [""Admiración"", ""Agrado""]}","{""choices"": [""Admiración"", ""Agrado"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Para usted, ¿cuál es el mejor candidato a la Presidencia de la República? #ElMejorCandidatoEs https://t.co/R8OdUKW9NI a través de @WradioColombia",1529824949451427841,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"@SaraLop88370165 @FicoGutierrez La propuesta de Fico está basada y planificada, el tiene la capacidad de asumir la presidencia #FicoGanador #ElMejorCandidatoEs",1529826360180346880,Agrado,"{""choices"": [""Admiración"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
@FicoGutierrez #ElMejorCandidatoEs #FicoGANADOR con fico nos garantiza la seguridad y tranquilidad de poder salir con más seguridad sin ningún hurto 👏🏻🇨🇴,1529823309814108162,Confianza,Confianza,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#ElMejorCandidatoEs el que pueda gobernar. Porque llevar propuestas al congreso en de debates eternos😵‍💫,1529820943362629637,Asco,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"@enriqueyimis1 @WRadioColombia #ElMejorCandidatoEs de lejos la dupla Petro y Francia. Porque se convirtieron en el referente del país que nos incluye a todos. No solo los que somos abiertamente antifascistas, sino a los ciudadanos comunes y corrientes que no soportan un acto más de corrupción",1529785193804050433,Agrado,"{""choices"": [""Admiración"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"#ElMejorCandidatoEs el que le apuesta por la paz, la justicia social y un gobierno para todos.",1529768426037821443,Confianza,"{""choices"": [""Expectativa"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
"#MiVotoEsPorFICO  #SantandereanosConFICO porq conectará el campo triplicando la inversión en vías terciarias para que nuestros campesinos puedan sacar sus productos a los mercados #FicoElGanador Nuevo simulador de votación,eligiendo a @FicoGutierrez 📲🗳️🇨🇴 https://t.co/jAa3MQv9Iy https://t.co/rLlb9TsFLJ https://t.co/vPBR3MbJKE",1529933656093081636,Agrado,Confianza,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"#FicoElGanador ""El éxito no es definitivo, el fracaso no es fatídico. Lo que cuenta es el valor para continuar"".  Winston Churchill  @FicoGutierrez el Presidente de la Gente... https://t.co/Kb1BeY7gtH",1529918294223900693,Confianza,Confianza,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
#FicoElGanador y con el gana Colombia.,1529850058417618946,Alegria,Confianza,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Además, crear más y mejores vías que brinden garantías al campo Colombiano, que den mayor alcance a los productos que allí son producidos. #FicoElGanador @PartidoMIRA https://t.co/NjWcpGQRYw",1529806709652340736,Confianza,Confianza,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
@FicoGutierrez @Rodrigo_LaraS le apuestan a:  📍 Créditos blandos para campesinos 📍 Incremento en vías terciarías 📍 Fortalecimiento de la industria nacional de insumos y fertilizante. 📍 Apoyo económico a las empresas #FicoElGanador @PartidoMIRA https://t.co/EupN1Kz04x,1529802418598334465,Confianza,"{""choices"": [""Admiración"", ""Confianza""]}",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ya convencí  a 10 personas #ConvenceUnoMásPorPetro,1529573334907768832,Alegria,Confianza,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
#VanessaPregunteleAFico quién era el secretario de seguridad de Medellín...y porqué dice que no está condenado... https://t.co/tPdPVabgDf,1529555382594682882,Asco,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"@RICHENAO @Rodrigo3edu @petrogustavo #NoEsCapazDeGobernarLaNación el eterno mitómano que jamás será presidente de los Colombianos.  #FicoPresidente2022  #ElDebateDefinitivo  Si Petro tuviese palabra hace tiempo hubiera dejado la política, porque es el N`1 ofreciéndose el desistimiento pero jamás cumple",1529454820427501568,Asco,Asco,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
@RICHENAO De hecho solo lo harían unas pocas familias a las que ud les lame el culo.  #ElDebateDefinitivo  #ElCambioEnPrimera.,1529351840772546565,Asco,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Quiero enviar un saludo a todos los ciclistas del país, que sigan haciendo deporte y que por favor sean prudentes a la hora de manejar por las vias de Colombia.  Lo digo porque Egan Bernal se dio un golpe muy fuerte en la cabeza y aún no se recupera.  #YaEsSuficiente",1529602483055640577,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
