text,tweet_id,relevancia,emocion,sentimento,answer,annotator,annotation_id,created_at,updated_at,lead_time
"#NosUnimosONosJodemos es una persona de fiar, no tiene rabo de paja, es un buen administrador y gestor, une, da confianza y hace la politica que es a favor del pueblo, es temeroso de Dios.",1528357012517621762,Si,Si,"{""choices"": [""Admiración"", ""Agrado""]}",no,,,2023-01-26T01:18:03.569533Z,2023-01-26T01:18:03.569536Z,79.267
"Para usted, ¿cuál es el mejor candidato a la Presidencia de la República? #ElMejorCandidatoEs https://t.co/R8OdUKW9NI a través de @WradioColombia",1529824949451427841,Si,No,,,,,2023-01-27T16:03:23.262713Z,2023-01-27T16:03:23.262716Z,5.992
"@SaraLop88370165 @FicoGutierrez La propuesta de Fico está basada y planificada, el tiene la capacidad de asumir la presidencia #FicoGanador #ElMejorCandidatoEs",1529826360180346880,Si,Si,Agrado,,,,2023-01-27T16:03:15.823355Z,2023-01-27T16:03:15.823358Z,17.179
@FicoGutierrez #ElMejorCandidatoEs #FicoGANADOR con fico nos garantiza la seguridad y tranquilidad de poder salir con más seguridad sin ningún hurto 👏🏻🇨🇴,1529823309814108162,Si,Si,Confianza,,,,2023-01-27T16:02:57.345809Z,2023-01-27T16:02:57.345813Z,11.25
#ElMejorCandidatoEs el que pueda gobernar. Porque llevar propuestas al congreso en de debates eternos😵‍💫,1529820943362629637,Si,Si,Asco,,,,2023-01-27T16:02:44.829591Z,2023-01-27T16:02:44.829594Z,11.69
"@enriqueyimis1 @WRadioColombia #ElMejorCandidatoEs de lejos la dupla Petro y Francia. Porque se convirtieron en el referente del país que nos incluye a todos. No solo los que somos abiertamente antifascistas, sino a los ciudadanos comunes y corrientes que no soportan un acto más de corrupción",1529785193804050433,Si,Si,Agrado,,,,2023-01-27T16:02:31.655653Z,2023-01-27T16:02:31.655657Z,21.254
"#ElMejorCandidatoEs el que le apuesta por la paz, la justicia social y un gobierno para todos.",1529768426037821443,Si,Si,Confianza,,,,2023-01-27T16:02:08.998896Z,2023-01-27T16:02:08.998900Z,6.092
"#MiVotoEsPorFICO  #SantandereanosConFICO porq conectará el campo triplicando la inversión en vías terciarias para que nuestros campesinos puedan sacar sus productos a los mercados #FicoElGanador Nuevo simulador de votación,eligiendo a @FicoGutierrez 📲🗳️🇨🇴 https://t.co/jAa3MQv9Iy https://t.co/rLlb9TsFLJ https://t.co/vPBR3MbJKE",1529933656093081636,Si,Si,Agrado,,,,2023-01-27T16:02:01.567433Z,2023-01-27T16:02:01.567438Z,157.164
"#FicoElGanador ""El éxito no es definitivo, el fracaso no es fatídico. Lo que cuenta es el valor para continuar"".  Winston Churchill  @FicoGutierrez el Presidente de la Gente... https://t.co/Kb1BeY7gtH",1529918294223900693,Si,Si,Confianza,,,,2023-01-27T15:59:22.933597Z,2023-01-27T15:59:22.933600Z,27.5
#FicoElGanador y con el gana Colombia.,1529850058417618946,Si,Si,Alegria,,,,2023-01-27T15:58:54.018887Z,2023-01-27T15:58:54.018894Z,5.912
"Además, crear más y mejores vías que brinden garantías al campo Colombiano, que den mayor alcance a los productos que allí son producidos. #FicoElGanador @PartidoMIRA https://t.co/NjWcpGQRYw",1529806709652340736,Si,Si,Confianza,,,,2023-01-27T15:58:46.801565Z,2023-01-27T15:58:46.801568Z,14.009
@FicoGutierrez @Rodrigo_LaraS le apuestan a:  📍 Créditos blandos para campesinos 📍 Incremento en vías terciarías 📍 Fortalecimiento de la industria nacional de insumos y fertilizante. 📍 Apoyo económico a las empresas #FicoElGanador @PartidoMIRA https://t.co/EupN1Kz04x,1529802418598334465,Si,Si,Confianza,,,,2023-01-27T15:58:31.215205Z,2023-01-27T15:58:31.215208Z,15.071
Ya convencí  a 10 personas #ConvenceUnoMásPorPetro,1529573334907768832,Si,Si,Alegria,,,,2023-01-27T15:58:14.838482Z,2023-01-27T15:58:14.838486Z,5.836
#VanessaPregunteleAFico quién era el secretario de seguridad de Medellín...y porqué dice que no está condenado... https://t.co/tPdPVabgDf,1529555382594682882,Si,Si,Asco,,,,2023-01-27T15:58:07.592743Z,2023-01-27T15:58:07.592745Z,13.659
