text,tweet_id,relevancia,emocion,sentimento,annotator,annotation_id,created_at,updated_at,lead_time,answer
Cómo serán los cálculos del equipo de Fajardo... Y lo que más me sorprende es que ni él entiende su propuesta pensional 🙄 #ElDebateDefinitivo,1528937928751304704,Si,Si,"{""choices"": [""Decepción"", ""Sorpresa""]}",,,2023-02-01T02:16:59.057052Z,2023-02-01T02:16:59.057055Z,20.569,
#ElDebateDefinitivo conclusión: @sergio_fajardo es un completo idiota...de verdad que si no pierde votos hoy...la gente es muy tonta!.,1528918181888270337,Si,Si,Desagrado,,,2023-02-01T01:54:17.299559Z,2023-02-01T01:54:17.299562Z,13.36,
El debate ya empezó ¿Qué pasó con @petrogustavo? ¿Lo entramparon las cobijas? #ElDebateDecisivo,1529798485599461376,Si,Si,"{""choices"": [""Decepción"", ""Desagrado""]}",,,2023-02-01T02:41:08.227267Z,2023-02-01T02:41:08.227271Z,12.034,
#ElMejorCandidatoEs quien guarde la Palabra de Dios en lo más profundo de su corazón y esa sea su guía para gobernar !!!,1529944442337214486,Si,Si,Expectativa,,,2023-02-01T02:40:44.494476Z,2023-02-01T02:40:44.494484Z,9.215,
"#ElMejorCandidatoEs el que no tenga compromisos económicos con ninguno de los grupos empresariales de este país, y ese es @petrogustavo por eso el representa el cambio de verdad...",1529895021058699265,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T02:40:23.938260Z,2023-02-01T02:40:23.938266Z,4.266,
"Para usted, ¿cuál es el mejor candidato a la Presidencia de la República? #ElMejorCandidatoEs https://t.co/R8OdUKW9NI a través de @WradioColombia",1529824949451427841,Si,No,,,,2023-02-01T02:36:56.733012Z,2023-02-01T02:36:56.733017Z,60.853,
"@SaraLop88370165 @FicoGutierrez La propuesta de Fico está basada y planificada, el tiene la capacidad de asumir la presidencia #FicoGanador #ElMejorCandidatoEs",1529826360180346880,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T02:35:38.830798Z,2023-02-01T02:35:38.830802Z,15.35,
@FicoGutierrez #ElMejorCandidatoEs #FicoGANADOR con fico nos garantiza la seguridad y tranquilidad de poder salir con más seguridad sin ningún hurto 👏🏻🇨🇴,1529823309814108162,Si,Si,Confianza,,,2023-02-01T02:35:05.886673Z,2023-02-01T02:35:05.886676Z,8.72,
#ElMejorCandidatoEs el que pueda gobernar. Porque llevar propuestas al congreso en de debates eternos😵‍💫,1529820943362629637,Si,No,,,,2023-02-01T02:34:42.029973Z,2023-02-01T02:34:42.029976Z,7.325,
"@enriqueyimis1 @WRadioColombia #ElMejorCandidatoEs de lejos la dupla Petro y Francia. Porque se convirtieron en el referente del país que nos incluye a todos. No solo los que somos abiertamente antifascistas, sino a los ciudadanos comunes y corrientes que no soportan un acto más de corrupción",1529785193804050433,Si,Si,"{""choices"": [""Admiración"", ""Confianza""]}",,,2023-02-01T02:34:22.219387Z,2023-02-01T02:34:22.219392Z,26.683,
