text,tweet_id,relevancia,emocion,ironia,sentimento,annotator,annotation_id,created_at,updated_at,lead_time
"#VotoPor #RodolfoHernandez hombre sabio, sagaz y visionario que transformará el país en potencia mundial, del atraso a ejemplo de desarrollo y crecimiento económico  #RodolfoPresidente  A los haters les digo, #RodolfoPresidente y si van a decir algo con argumentos no inventos",1529572795633414144,Si,Si,No,Confianza,,,2023-02-13T17:30:12.410561Z,2023-02-13T17:30:12.410565Z,15.455
#FedericoEsColombia este 29 de Mayo salgamos todos a votar por la democracia y la libertad de colombia unidos por nuestro país #FedericoImparable #FedericoEsColombia #FicoPresidente2022,1528415123450343432,Si,,No,Confianza,,,2023-02-13T17:29:55.343683Z,2023-02-13T17:29:55.343687Z,8.296
"Por un cambio, por la esperanza de un mejor país, por la vida de líderes jóvenes y líderes sociales, #MiVotoEsPetroYFrancia",1528473443271835653,Si,Si,No,Confianza,,,2023-02-13T17:29:45.662196Z,2023-02-13T17:29:45.662201Z,8.673
Por que Colombia necesita cambio #MiVotoEsPetroYFrancia,1528584113933934593,Si,Si,No,Confianza,,,2023-02-13T17:29:35.686595Z,2023-02-13T17:29:35.686599Z,6.088
"#LeApuestoA las instituciones. Nunca he creído en el mesianismo. #LeApuestoA al debate y pensamiento crítico para construir en la diferencia, sin mojigatería, ni límites absurdos sobre el deber ser.",1529097150923214849,Si,Si,No,Otra,,,2023-02-13T17:29:28.092173Z,2023-02-13T17:29:28.092179Z,42.215
"#ElMejorCandidatoEs el que le apuesta por la paz, la justicia social y un gobierno para todos.",1529768426037821443,Si,Si,No,Confianza,,,2023-02-13T17:28:44.570057Z,2023-02-13T17:28:44.570062Z,7.822
#UnTramposoEs el que inventa aplazar las elecciones para incendiar el País El pánico en la campaña del @PactoHistorico y @petrogustavo  es evidente Cortinas de humo pues #PetroNuncaSeráPresidente,1528688067267149824,Si,Si,No,Desagrado,,,2023-02-13T17:28:35.187003Z,2023-02-13T17:28:35.187007Z,27.646
"@darcyquinnr #UnTramposoEs el que se vale de su posición como ""periodista"" para servir como lavaperros, terminan haciendo cochinadas con los socios del esposo mientras lo de ”periodista"" ni siquiera lo había terminado. Bandidos finalmente.",1528687395423629312,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T17:28:06.258110Z,2023-02-13T17:28:06.258114Z,51.733
#FedericoEsColombia corrupta y llena de clanes,1528545198409662468,Si,Si,No,Desagrado,,,2023-02-13T17:27:11.528595Z,2023-02-13T17:27:11.528600Z,7.011
"#FedericoEsColombia pero no será presidente, el país se mamo de estos falsos profetas paisas disfrazados de buena gente que tuvieron la oportunidad de dejar huella pero que solo han dejando desolación, hambre, pobreza y sangre por donde caminan",1528701830447960064,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T17:27:03.240171Z,2023-02-13T17:27:03.240174Z,33.326
#ElDebateDefinitivo fico es aguevado...creia que petro iba a caer en la trampa. Es obvio que tiene que extraditar jajajaj,1528908094675333124,Si,Si,Si,,,,2023-02-13T17:26:28.712453Z,2023-02-13T17:26:28.712457Z,11.637
"#MeInquieta ver como en Colombia solo se recuerdan los campesinos en las regiones apartadas, cuando sucede algo que genera morbo violencia o tristeza.",1528679668345360385,Si,Si,No,Tristeza,,,2023-02-13T17:26:15.825893Z,2023-02-13T17:26:15.825896Z,346.521
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,Si,Si,No,Desagrado,,,2023-02-13T17:20:27.879974Z,2023-02-13T17:20:27.879978Z,21.088
"Fajardo tiene la misma propuesta de petro en pensiones, y ni el mismo lo sabe. Petro se lo tuvo que explicar. #ElDebateDefinitivo",1528936500745973760,Si,Si,No,Desagrado,,,2023-02-13T17:20:05.193016Z,2023-02-13T17:20:05.193020Z,10.308
La Silicon Valley Latinoamericana aún no tiene software para las votaciones. #AColombiaLePreocupa,1529070396087185409,Si,Si,No,Decepción,,,2023-02-13T17:19:53.422988Z,2023-02-13T17:19:53.422993Z,6.745
"#AColombiaLePreocupa el abandono de las regiones! Fortalecer la seguridad alimentaria, salud, educación, vivienda, vías decentes el fortalecimiento del agro en su conjunto!",1529089553923026946,Si,Si,No,Otra,,,2023-02-13T17:19:45.397359Z,2023-02-13T17:19:45.397366Z,51.571
#AColombiaLePreocupa que después de una pandemia salimos llenos de rencor,1529096515356176385,Si,Si,No,Decepción,,,2023-02-13T17:18:52.313555Z,2023-02-13T17:18:52.313558Z,8.045
"@RollingStoneCol @FranciaMarquezM Que va,  es la candidata  de Las Farc ,  del Eln.  Comunismo puro .   #FedericoEsColombia",1528401859635040256,Si,Si,No,Asco,,,2023-02-13T17:18:42.863131Z,2023-02-13T17:18:42.863136Z,15.668
#UnTramposoEs quien con noticias falsas se queire tomar el poder @darcyquinnr,1528695959907180547,Si,Si,,"{""choices"": [""Desagrado"", ""Miedo""]}",,,2023-02-13T17:18:25.880080Z,2023-02-13T17:18:25.880084Z,18.99
#MeInquieta que @AndresPastrana_ esté generando miedo e inquietud y... posible violencia el día de elecciones si no queda el candidato que cada uno quiere. Y @FiscaliaCol @PoliciaColombia @PGN_COL no dicen nada.  Estos últimos son corresponsables de lo que pueda pasar el donimgo,1528704766028697601,Si,Si,No,Miedo,,,2023-02-13T17:18:05.675643Z,2023-02-13T17:18:05.675648Z,12.389
"#ElDebateDefinitivo mi voto es por @FicoGutierrez. Jamás votaré por el que intento asesinar a mi padre, un guerrillero que sólo quiere el poder para perpetuarse. Ciegos los que piensan que @petrogustavo es el mesías.",1528898629708169217,Si,Si,No,"{""choices"": [""Asco"", ""Miedo""]}",,,2023-02-13T17:17:51.879017Z,2023-02-13T17:17:51.879022Z,32.157
#AColombiaLePreocupa la propuesta de pensiones de Petro. Ayer en #ElDebateDefinitivo quedó nuevamente confirmado que si piensa usar la ahorros de millones para gastárselo en sus promesas de campaña.,1529119564503691264,Si,Si,No,Miedo,,,2023-02-13T17:17:18.384598Z,2023-02-13T17:17:18.384603Z,23.759
"#YaEsSuficiente ya es suficiente de @petrogustavo , espero que perdiendo estas elecciones nos deje en paz a los colombianos con su proyecto fracasado comunista. Ya mk ya por favor 🙏🏻",1529466881609957378,Si,Si,No,Desagrado,,,2023-02-13T17:16:53.316278Z,2023-02-13T17:16:53.316282Z,24.722
"Los únicos que deben de tener miedo a un cambio de Gustavo Petro son los corruptos, narcotraFICO, paramilitares y los vividores del estado que perderán sus privilegios!! #MiVotoEsPetroYFrancia",1528497422695030786,Si,Si,No,"{""choices"": [""Ira"", ""Asco""]}",,,2023-02-13T17:16:27.211041Z,2023-02-13T17:16:27.211045Z,12.663
Ya no quieroas de los mismo #MiVotoEsPetroYFrancia,1528557117858357249,Si,Si,No,Desagrado,,,2023-02-13T17:16:13.086795Z,2023-02-13T17:16:13.086800Z,17.932
#ElDebateDefinitivo  ¿Ya están diciendo que el cafre Petro los peinó a todos?,1528903851981553666,Si,Si,No,Desagrado,,,2023-02-13T17:15:53.927918Z,2023-02-13T17:15:53.927921Z,910.174
Es claro quien es el presidente y quienes van a quedar rabones ! Petro los peinó tranquilo !  #ElDebateDefinitivo,1529144849441644545,Si,Si,No,Agrado,,,2023-02-13T17:00:42.398454Z,2023-02-13T17:00:42.398459Z,12.639
Ya convencí  a 10 personas #ConvenceUnoMásPorPetro,1529573334907768832,Si,No,,,,,2023-02-13T17:00:28.539501Z,2023-02-13T17:00:28.539505Z,4.377
#FicoElGanador y con el gana Colombia.,1529850058417618946,Si,No,,,,,2023-02-13T17:00:22.935636Z,2023-02-13T17:00:22.935640Z,4.211
#EsMuyImportante que los medios de comunicación no desinformen y fomenten el miedo en la sociedad,1539613306297671681,Si,Si,No,Desagrado,,,2023-02-13T17:00:17.100007Z,2023-02-13T17:00:17.100011Z,15.872
"Ahora que #PetroEsPresidente #NuestraPrioridadEs hacerle seguimiento. Apoyarlo con lo bueno, reprocharle lo malo. Marchar cuando sea necesario y así... Será difícil, pero no imposible.   Pero con responsabilidad, no con odio.",1539264520631242753,Si,Si,No,Confianza,,,2023-02-13T16:59:59.667741Z,2023-02-13T16:59:59.667745Z,13.44
"El odio y el resentimiento, hoy están más que nunca encarnados en Maria Fernanda Cabal. Pobrecita esa mujer. #PetroEsPresidente",1539334416929067011,Si,Si,No,Tristeza,,,2023-02-13T16:59:44.611579Z,2023-02-13T16:59:44.611583Z,15.286
