text,tweet_id,relevancia,emocion,ironia,sentimento,annotator,annotation_id,created_at,updated_at,lead_time,answer
#ElDebateDefinitivo  ¿Ya están diciendo que el cafre Petro los peinó a todos?,1528903851981553666,Si,Si,Si,Desagrado,,,2023-02-13T15:43:29.974147Z,2023-02-13T15:43:44.147140Z,5419.537,
"@RevistaSemana Todo un grupo de estudio para criminalistas estilo Law and Order. A mi como no me gusta el crimen, prefiero votar por lo honesto y los valores #VoyConFederico #FicoPresidente2022",1530540016388263937,Si,Si,Si,"{""choices"": [""Desagrado"", ""Confianza""]}",,,2023-02-10T17:10:07.012645Z,2023-02-10T17:10:19.038178Z,783.449,
"#VotoPor #RodolfoHernandez hombre sabio, sagaz y visionario que transformará el país en potencia mundial, del atraso a ejemplo de desarrollo y crecimiento económico  #RodolfoPresidente  A los haters les digo, #RodolfoPresidente y si van a decir algo con argumentos no inventos",1529572795633414144,Si,Si,No,Admiración,,,2023-02-13T16:30:05.401539Z,2023-02-13T16:30:05.401544Z,11.395,
#FedericoEsColombia este 29 de Mayo salgamos todos a votar por la democracia y la libertad de colombia unidos por nuestro país #FedericoImparable #FedericoEsColombia #FicoPresidente2022,1528415123450343432,Si,Si,No,Confianza,,,2023-02-13T16:29:52.665826Z,2023-02-13T16:29:52.665831Z,10.566,
"Por un cambio, por la esperanza de un mejor país, por la vida de líderes jóvenes y líderes sociales, #MiVotoEsPetroYFrancia",1528473443271835653,Si,Si,No,Confianza,,,2023-02-13T16:29:10.921951Z,2023-02-13T16:29:10.921955Z,7.516,
Por que Colombia necesita cambio #MiVotoEsPetroYFrancia,1528584113933934593,Si,Si,No,Confianza,,,2023-02-13T16:29:01.983596Z,2023-02-13T16:29:01.983601Z,7.222,
"#LeApuestoA las instituciones. Nunca he creído en el mesianismo. #LeApuestoA al debate y pensamiento crítico para construir en la diferencia, sin mojigatería, ni límites absurdos sobre el deber ser.",1529097150923214849,Si,No,,,,,2023-02-13T16:28:53.258237Z,2023-02-13T16:28:53.258242Z,11.519,
"#ElMejorCandidatoEs el que le apuesta por la paz, la justicia social y un gobierno para todos.",1529768426037821443,Si,Si,No,Confianza,,,2023-02-13T16:28:40.364527Z,2023-02-13T16:28:40.364531Z,12.73,
#UnTramposoEs el que inventa aplazar las elecciones para incendiar el País El pánico en la campaña del @PactoHistorico y @petrogustavo  es evidente Cortinas de humo pues #PetroNuncaSeráPresidente,1528688067267149824,Si,Si,No,Desagrado,,,2023-02-13T16:28:26.004233Z,2023-02-13T16:28:26.004237Z,9.746,
"@darcyquinnr #UnTramposoEs el que se vale de su posición como ""periodista"" para servir como lavaperros, terminan haciendo cochinadas con los socios del esposo mientras lo de ”periodista"" ni siquiera lo había terminado. Bandidos finalmente.",1528687395423629312,Si,Si,No,Desagrado,,,2023-02-13T16:28:14.504564Z,2023-02-13T16:28:14.504568Z,13.813,
#FedericoEsColombia corrupta y llena de clanes,1528545198409662468,Si,Si,No,"{""choices"": [""Ira"", ""Decepción""]}",,,2023-02-13T16:27:58.952547Z,2023-02-13T16:27:58.952552Z,8.417,
"#FedericoEsColombia pero no será presidente, el país se mamo de estos falsos profetas paisas disfrazados de buena gente que tuvieron la oportunidad de dejar huella pero que solo han dejando desolación, hambre, pobreza y sangre por donde caminan",1528701830447960064,Si,Si,No,"{""choices"": [""Decepción"", ""Tristeza""]}",,,2023-02-13T16:27:48.963605Z,2023-02-13T16:27:48.963608Z,16.109,
#ElDebateDefinitivo fico es aguevado...creia que petro iba a caer en la trampa. Es obvio que tiene que extraditar jajajaj,1528908094675333124,Si,Si,No,Desagrado,,,2023-02-13T16:27:31.235319Z,2023-02-13T16:27:31.235324Z,1462.756,
"#MeInquieta ver como en Colombia solo se recuerdan los campesinos en las regiones apartadas, cuando sucede algo que genera morbo violencia o tristeza.",1528679668345360385,Si,Si,No,Tristeza,,,2023-02-13T16:03:07.091277Z,2023-02-13T16:03:07.091284Z,9.626,
"#ElDebateDefinitivo le falta a Federico Gutiérrez decir que ""vamos a vivir sabroso"" y ya se termina de robar todo el discurso de Petro.  Consejo. Si alguien se le roba la idea al otro. No vayan por el que se roba la idea, vayan por el que es el original.",1528921475553669128,Si,Si,Si,Desagrado,,,2023-02-13T16:02:55.883879Z,2023-02-13T16:02:55.883883Z,10.015,
"Fajardo tiene la misma propuesta de petro en pensiones, y ni el mismo lo sabe. Petro se lo tuvo que explicar. #ElDebateDefinitivo",1528936500745973760,Si,Si,Si,Desagrado,,,2023-02-13T16:02:44.619416Z,2023-02-13T16:02:44.619420Z,7.395,
La Silicon Valley Latinoamericana aún no tiene software para las votaciones. #AColombiaLePreocupa,1529070396087185409,Si,Si,Si,Incertidumbre,,,2023-02-13T16:02:35.987763Z,2023-02-13T16:02:35.987766Z,8.516,
"#AColombiaLePreocupa el abandono de las regiones! Fortalecer la seguridad alimentaria, salud, educación, vivienda, vías decentes el fortalecimiento del agro en su conjunto!",1529089553923026946,Si,Si,No,Incertidumbre,,,2023-02-13T16:02:26.057018Z,2023-02-13T16:02:26.057023Z,31.552,
#AColombiaLePreocupa que después de una pandemia salimos llenos de rencor,1529096515356176385,Si,Si,No,"{""choices"": [""Decepción"", ""Tristeza""]}",,,2023-02-13T16:01:52.935193Z,2023-02-13T16:01:52.935198Z,8.609,
"@RollingStoneCol @FranciaMarquezM Que va,  es la candidata  de Las Farc ,  del Eln.  Comunismo puro .   #FedericoEsColombia",1528401859635040256,Si,Si,No,Desagrado,,,2023-02-13T16:01:42.979439Z,2023-02-13T16:01:42.979442Z,8.322,
#UnTramposoEs quien con noticias falsas se queire tomar el poder @darcyquinnr,1528695959907180547,Si,Si,No,Desagrado,,,2023-02-13T16:01:33.370877Z,2023-02-13T16:01:33.370880Z,9.552,
#MeInquieta que @AndresPastrana_ esté generando miedo e inquietud y... posible violencia el día de elecciones si no queda el candidato que cada uno quiere. Y @FiscaliaCol @PoliciaColombia @PGN_COL no dicen nada.  Estos últimos son corresponsables de lo que pueda pasar el donimgo,1528704766028697601,Si,Si,No,"{""choices"": [""Desagrado"", ""Miedo"", ""Incertidumbre""]}",,,2023-02-13T16:01:22.596172Z,2023-02-13T16:01:22.596175Z,11.403,
