text,emocion
La Gran Guerra de #JuegoDeTronos nos ha dejado muchos momentos para el recuerdo y unas cuantas dudas https://t.co/UE7lCgLSez https://t.co/OO3tjUR34c,otra
El golpe de Estado en #Venezuela está más lejos que el final de Elif. #VenezuelaEnBatallaYVictoria #VenezuelaNoSeRinde #VenezuelaHoy,otra
No tengo una foto en la catedral de #NotreDame pero tengo esta secuencia hermosa... https://t.co/cwcdHASGIu,tristeza
#NotreDame nunca llegue a visitar tan grandiosa construcción. Solo vista en imágenes y videos.. 😭,tristeza
A tomar por culo mi crush 😭😭😭😭😭#JuegoDeTronos,tristeza
Bueno declaro Moscú la nueva y renovada Messigrado. #BarçaLFC #ChampionsLeague,otra
Huelga Internacional Contra el Cambio Climático 15 de Marzo. Rebélate contra la extinción de especies y la crisis ecológica Madrid: Manifestación desde Sol hasta el Congreso de los Diputados (12.00h) #Fridaysforfuture #Madridseune #Strike4Climate #GretaThunberg #NobelPeacePrize https://t.co/KKxC153GUQ,otra
"""Sofia es mujer para un rico y yo soy pobre y humilde"" #28A #ELDEBATEenRTVE #Supervivientes2019 #DiaDelLibro #SomosLaAudiencia23A https://t.co/KRGTArTPsr",otra
"Ya se fue, lo hubiese hecho hace años y evitaba matar tanta gente... #VenezuelaLibre #FueraAsesino https://t.co/b9Co0OIPhl",otra
➡️AVANCE INFORMATIVO ▪️Valoraciones de los resultados de las #ElecccionesGenerales28A ▪️Constitución de la Federación Regional de Regentes 13:30 horas en USER y USER 📻 https://t.co/Ga67yXNbM2,otra
ARYA DE MI VIDA. ERES MAS ÉPICA QUE EL GOL DE INIESTA JODER #JuegodeTronos #VivePoniente,alegria
Mirad le he hecho a USER un edit de #JuegodeTronos Se que es una gilipollez pero os gusta??? https://t.co/y7NXdMvHQE,otra
8 temporadas para que en un capítulo se echen a casi todos.... La cago.... #JuegodeTronos #GameofThrones,ira
¡Nos alegramos mucho de que te haya gustado! ¡Feliz #DiadelLibro https://t.co/8fu9WW11gy,alegria
"Con el objetivo de fomentar la lectura, rendir homenaje a los libros y escritores que por siglos nos han transmitido conocimientos a través de sus letras, celebramos el #DíaDelLibro y del Derecho de Autor. https://t.co/wkLklLH2gc",otra
¿Cuánta mierda pueden tener en la cabeza los que apoyan la dictadura de Maduro? ¿No se dan cuenta de su ignorancia y completa falta de empatía? Que vergüenza... #VenezuelaLibre,ira
Y ahora yo como me duermo después de este vaivén de emociones? Solo diré una cosa: BRU-TAL en todos los sentido de la palabra #got #gameofthrones #JuegodeTronos,otra
"Servicio público y literario En la 45° Feria Internacional del Libro en Buenos Aires se puede encontrar esta joya a sólo 150 pesos argentinos (3,5 usd aprox.) #DíaDelLibro #JoséAntonioRamosSucre #PoesíaVenezolana #LiteraturaLatinoamericana ❧ #LosCuadernosDelDestierro https://t.co/MhAHn0dLQE",alegria
Tendré que volver a ver el capítulo de #JuegoDeTronos porque no me he enterado de nada con tanta oscuridad y una dirección tan mediocre,ira
