text,tweet_id
"En mi casa esta prohibido hablar de política, por múltiples diferencias, pero por aquí, QUE VIVA PETRO!!! #PetroPresidenteEnPrimera #PetroEsElCambio",1530721489607176193
"Hoy inicia el cambio, porque quiero y merezco vivir sabroso #PetroPresidenteEnPrimera",1530805343311347714
"#PetroPresidenteEnPrimera  porque ya es hora de reconciliar, producir, y crecer, Latinoamérica potencia mundial, creceremos con el apoyo adecuado",1530860123043799040
Ya casi se le acaban las pasantías a Ivan Duque.  #PetroPresidenteEnPrimera,1530866104045903878
Hoy es el día en que debemos cambiar la historia !!!!! A despertar COLOMBIA 🇨🇴!!!!! #PetroPresidenteEnPrimera !!!!!!,1530881792886071296
"Tengo tanta ilusión y ansiedad, quiero cerrar por un momento los ojos y al despertar saber que #PetroPresidenteEnPrimera",1530893502871228416
"@NubiadelCD @crisr3461 Llego el día por favor deje la pereza levántese temprano y salga a votar no deje el destino del País en manos de otros, su voto si decide.......... 🇨🇴🇨🇴🇨🇴🥑🥑🐝🐝 #ColombiaConPetro #YoVotoPetroPresidente #PetroPresidenteEnPrimera #ElCambioEnPrimera",1530899867526103040
"Ya hice la tarea, ustedes ya? #PetroPresidenteEnPrimera",1530908366930862081
Hoy Todos Unidos Con #Petro El Cambio Comienza Cuando Todos Tomemos Conciencia Y Sepamos Por Quien Votar Nuestro #PetroPresidenteEnPrimera 🙌🙏✨,1530916513259061252
"Como jóvenes  debemos demostrar con responsabilidad el inconformismo, de los últimos meses. Salgamos a votar por un cambio en primera.  #PetroPresidenteEnPrimera",1530933413171052547
"A esta hora hay mucha juventud que aún ha ido a votar. Las mesas de los jóvenes, las últimas, están solas. Vacías. Muy poca afluencia. Que pasa muchachos? Retwitéalo. #PetroPresidenteEnPrimera #ElCambioEnPrimera",1530947059393695750
Hoy votamos por la dignidad #PetroPresidenteEnPrimera,1530948028466614274
Mi nombre es Catalina Suárez soy maestra de primaria en la ciudad de Bogotá mi voto es por @petrogustavo porque quiero un mejor país para mis estudiantes. Quiero que ellos puedan vivir sabroso. #PetroPresidenteEnPrimera,1530953208293728261
