text,label
"Ante estos resultados, expectativa de avances decididos en lucha contra la pobreza infantil, protección de la infancia contra la violencia, equidad en la educación. Que la infancia encuentre en las coaliciones el lugar que necesita tener #ElecccionesGenerales28A USER https://t.co/Z6z0Wj8ozf",3
"Pobre #Venezuela, tan lejos de Dios y tan cerca de los Estados Unidos",2
¿ARENGAS DE UN GOLPISTA?: Disturbios en Caracas tras el llamamiento de #Guaidó a un #Golpe_de_Estado en #Venezuela https://t.co/pRPfUBsB2F via USER,6
La negociación y el diálogo será la clave para que #Venezuela viva un nuevo período democrático pero pasará un tiempo para que los demócratas venezolanos se encuentren y demuestren en paz que con votos se puede lograr un cambio. https://t.co/FMFaLXbe2A,6
Cersei se encuentra buscando lentillas de colores para que #Arya no sepa que sus ojos son verdes #VivePoniente #JuegodeTronos #poreltrono #BattleOfWinterfell #Got https://t.co/aOqEf98RJd,6
Oh si ... tristísimo lo de #NotreDame,6
Por el liderazgo de #GretaThunberg hoy miles de niños y niñas de escuelas en varios países de Europa están reclamando una acción más decidida para luchar contra el #CambioClimático. Es su futuro el que está en juego. #FridaysForFuture https://t.co/x93G0P0Qhc,6
Los herederos de Leo Messi. El argentino celebró el título de la Liga Española junto a sus hijos. QUE MEJOR QUE CELEBRARLO EN FAMILIA 🏆⚽. #Messi #Barcelona #laliga en Panama https://t.co/wOBFIP355e,6
Como quisiera q la #UEFA #ChampionsLeague estuviera en #beIN o #ESPN #Univision es terrible y lo peor es el Bulgaro ese,6
Si te gusta la #Salsa y la #Música #Duranguense te traemos la receta perfecta #México #Venezuela #MX - https://t.co/rySkxGPjmV,5
"Ver como se quema un catedral histórica y no poder hacer nada, es algo que difícilmente se pueda digerir. #NotreDame",6
"A ver a los Señores de USER hagan el favor de ponernos el episodio de #Juegodetronos de una puñetera vez, que no me puedo ir a la cama con este regustillo amargo. Ahora que según va la noche la batalla la ganan los Vigilantes blancos fijo 🤔😓. #GameofThrones #HBOEspana",0
"“De los diversos instrumentos inventados por el hombre, el más asombroso es el libro; todos los demás son extensiones de su cuerpo… Sólo el libro es una extensión de la imaginación y la memoria”.- Jorge Luis Borges. ¡Feliz Día Internacional del Libro!📚 #DíaDelLibro #CDNaco https://t.co/mzpZgtHprZ",3
#ponlepalomitas Juan Gabriel #DíaDelLibro #NarcoReforma #SemanaIR #DiaInternacionalDelLibro #QuéPasóCha #ConsejosQueDoyYNoSigo #TorneoDeVoleibolAntorchista #ClasicoRegio https://t.co/HfMDuTc0v2,6
"#NotreDame ""Acá hay una gran consternación, tristeza y dolor. Mucha gente se puso a llorar, incluso sin ser católico, por el valor cultural que tiene"" Emilio Giménez Franco, embajador paraguayo en Francia #780AM",2
"Orgullosa de ver cómo mi ciudad se ha vestido de rojo enserio , había tanto miedo porque gobernara la derecha pero tanto y aunque no haya terminado yo ya veo al país de rojo 🌹♥️ #28A   #PSOE #ElecccionesGenerales28A",3
Yo después de ver el tercer capitulo de #JuegodeTronos https://t.co/BZesOHc7zK,6
Razones por las que Arya en la puta ama #GameofThrones #JuegoDeTronos https://t.co/9cNlx49t1M,6
El mejor de la historia de un lado. Pero que los árboles no os impidan ver el bosque... #UCL #ChampionsLeague #ChampionsMLC,3
"Gracias Lio Messi por existir en esta época, gracias por todo el fútbol, nunca duden quién es el puto amo de esto. #Messi600 #ChampionsLeague",3
"Ahora solo el fuego puede salvarles, SON MILLONES Y ESPADAS NO ES NADA!! FUEGO JODERRR #GameOfThrones #JuegodeTronos #S8x03",6
Rescatan corona de espinas de Jesús y túnica de San Luis de catedral de #NotreDame https://t.co/MbeUWD7Qaz #Apr15 | #Mundo #Francia #Paris | #CaraotaDigitalUS https://t.co/KZ2VUQBumW,6
y mientras aqui tenemos a un pinche mueble que yo creo ya puso sus barbas a remojar de ver como #Venezuela cada vez mas LIBRE #AMLORENUNCIA https://t.co/83p1jlqxML,6
"Quien haya planeado que salgan a la vez, no ha pensado que podemos verles a los tres pero que solo podemos escuchar a uno. #28A #ElecccionesGenerales28A USER USER USER ",6
Nervios en el PSOE... El miedo a la necesidad de encamarse con los independentistas para gobernar? #ElecccionesGenerales28A,5
Hoy realizamos una donación de libros a nuestra #AliaRSE USER qué nos recibieron con mucho cariño 💛 la educación es la mejor herramienta para sacar adelante un país #DiaDelLibro #DiaInternacionalDelLibro #Stratego https://t.co/esQ89fgYuy,3
"""No hay tiempo para aguardar a que la siguiente generación solucione el problema"" Greta Thunberg https://t.co/vaZ8Px1gM0 #FridaysForFuture #15MClimatico #granada #GretaThunberg https://t.co/oq5VGWAGFy",6
Aparentemente frágil y vulnerable ... demuestra lo que es la fortaleza interior. #gretathunberg #nobeldelapaz #foroeconomicomundial #teenagers #enviromet #nature #onu #ecology #survive #responsability #earth #autismo… https://t.co/GQZkymy6CT,6
USER La policía de #argentina reprime gravemente a manifestante a favor del gobierno de #Venezuela,3
Da exactamente igual lo que hayas votado. Este es un dato para hacernos sentir orgullosos como sociedad #28A #ElecccionesGenerales28A https://t.co/eyDgCGgvZw,6
Venga #VenezuelaLibre libérate de semejante dictador que es capaz de mandar atropellar a manifestantes. #VenezuelaEstamosContigo https://t.co/eGVsNoUXbI,0
Cuál sería el problema de publicar fotos de #NotreDame ?,6
Bendito 1 de mayo que me dejara ver sin pedos el USER vs USER #ChampionsLeague,6
Sé que a algunos les arde que este fenómeno siga en la cima del fútbol. Inventan nuevos grandes. Pero él sigue demostrando que es simplemente el mejor de la historia. #Goat #Messi600 #ChampionsLeague https://t.co/5SfACPsYxu,6
"Atención, pregunta: ¿Cuánto tardará antena 3 u otra cadena de TV en emitir ""Los pilares de la Tierra""? #NotreDameEnLlamas",6
"Hacia mucho tiempo, puede ser años, que no veía un #Barça perder tantos balones y con el camión atrás para defender. #ChampionsLeague",6
#LaLiga || FINAL en el Camp Nou El #FCBarcelona derrota con angustia al #Levante 1-0 y se queda con el título de Liga!!!!!! 2️⃣6️⃣🏆 #BarçaLevante https://t.co/d9FLKGIdTA,6
Igual alguien tiene que empezar a pedir perdón a #Tezanos #ElecccionesGenerales28A,6
"El USER ha ganado las #ElecccionesGenerales28A con 122 escaños,un resultado que le obligaría a pactar con USER (42) ylos #independentistas #catalanes o bien con USER (58) USER registra el peor dato histórico (66)Vox irrumpe en el Congreso con 24 diputados https://t.co/RwSqBFFpaM",6
"Los últimos 40 años de la Europa del bienestar , serán recordados como un miserable modelo de; gestión de recursos , destrucción del ecosistema e instauración de la desigualdad y la basura. #Murcia #Politica #Greenpeace #extinctionrebellion #Fridays4Future #GretaThunberg",0
Es tremendo lo de Messi #ChampionsLeague,3
11 millones de votos para la izquierda. 11 millones de votos para dar más alas al independentismo y a la radicalidad Bildu-etarra. Hoy es un día triste para España 🇪🇸. Pero no nos rendimos. seguimos ADELANTE Y SIN MIEDO! #voxenelcongreso #ElecccionesGenerales28A,2
Por una vez que ardo en deseos de escuchar declaraciones de Pablo Casado y lo que me está haciendo esperar el cabrón. #EleccionesL6 #ElecccionesGenerales28A,0
"La gente en Ferraz gritando a USER “Con Rivera no”. Su respuesta: “creo que ha quedado bastante claro, no?” #ElecccionesGenerales28A",6
⚽️Faltan unos minutos para el comienzo del #BarçaLiverpool ➡️¿Quién estará en la final del Metropolitano el próximo 1 de junio? ➡️ En la mejor apuesta... #TúGanas. #ChampionsLeague #liverpoolvsbarcelona #Messi #firmino https://t.co/Bs4JEs5Qeh,6
Para quienes se interesen por el derecho #penal les recomiendo el libro “Actialidad Penal 2019” en el cual tengo el placer de ser uno de los coautores junto a USER y otros ilustres juristas especializados en la materia #DiaDelLibro #Penal #Abogados https://t.co/nQBI1ThgPu,6
"Apenados ante la noticia del incendio ocurrido en la catedral de #NotreDame,nos unimos al dolor que en estos momentos siente todo el pueblo francés y toda la Iglesia. Ponemos todas nuestras oraciones para que los efectivos que están actuando puedan minimizar los daños producidos https://t.co/evcUUKThOZ",6
"Vaya mérito el de Leo Messi ganado 10 ligas de 15, enfrentándose cada año al mejor equipo del siglo 20, al gran campeón de europa. Eso es lo que lo hace una leyenda. #LaLiga #BarcaLevante #ForçaBarça #FCB https://t.co/79iqol8KXL",3
Pero que viva la democracia y la soberanía dicen los amiguis de los extremos... #VenezuelaLibre #Colombialibre https://t.co/dKennc4TfH,2
“Ahí donde se queman libros se acaba quemando también seres humanos”.. #DiaDelLibro https://t.co/wzHqnkpKE3,6
"Puedo ser ""democrático"" y celebrar un golpe de Estado? #Chile #Venezuela",6
Agradecer a #vox que ha hecho una gran movilización para que toda la izquierda se mueva del sofá y de forma histórica!Y agradezco toda la representación política y diversa que tenemos!Tendríamos que valorarlo más!Que bastante nos ha costado #ElecccionesGenerales28A #EleccionesL6,3
"Apoyo totalmente la huelga mundial contra el cambio climático. La moda sostenible debe ser responsable, con los materiales, con la fabricación, con los seres humanos y con el respeto al entorno y al planeta. #FridaysForFuture #GretaThunberg #ModaSostenible #CambioClimatico",3
"La adolescente sueca #GretaThunberg, de 16 años de edad, fue nominada al premio #NobeldelaPaz por su contribución a la lucha contra el calentamiento global. https://t.co/iFdzVFElmG https://t.co/6ErNlzQA4r",6
"Aquí, sufriendo....digo, disfrutando de la fiesta de la democracia #ElecccionesGenerales28A #EleccionesGenerales19 #EleccionesGenerales28Abril https://t.co/UJIJGUnEZW",6
Esta es la última encuesta del CIS. Yo ahora a los que decían que era mentira se la metería por donde les cupiera. #ElecccionesGenerales28A https://t.co/Ih298Tjw68,0
#ElecccionesGenerales28A | Los resultados del PSOE en #Leganes es el mejor dato de los grandes municipios de Madrid https://t.co/KXcTcEXqRy,6
Esta niña nos da una lección vital y nos avergüenza con su sentido común #GretaThunberg https://t.co/pgquTRj7Lp,6
