text,label
"Ariel Freez Lo más importante en la vida, es aprender a dar amor y dejar que llegue a nuestra vida. ",3
"Tener una amiga de fierro, un amor sincero y una hermosa familia, son mis tesoros y regalos más preciados. Orgullosa de lo que tengo ",3
"Pachuca a la final, Delfines campeon, mañana contrato primero dios ¿que mas puedo pedir? ",3
" una mujer poca ropa riendo como loca para llamar la atención, cuando a algunas nos basta con sonreír.",0
Récord Mundial: Mayor rompecabezas hecho con tiendas de campaña http://t.co/4TCqKGgWkD  ,5
"""@BrunoPont: 4 cuadras y más para el concierto de Arjona, aclaro que sólo pase por el lugar   Mmmm Bruno..",5
Parece mentira haberlas visto sin saber coger un balón y ahora CAMPEONAS DE ANDALUCÍA! Esas son MIS NIÑAS   @tomaresvoley,3
"No os confundáis hoy no empieza el verano, empieza el 1 de julio  ",0
Muchas de mis metas y objetivos se han cumplido o están en proceso de cumplirse. Yo lo dije... ¡este es mi año! ,3
Administración a la bolsa.. ahora a comer dormir y soñar el codigo civil paraa el lunes   ,1
Despierta desde las 7 de la mañana  por que carajo soñé semejante pesadilla horrible no puedo seguir durmiendo :c ,1
" salir de tu casa, caminar 15 cuadras y tener que volver porque se te olvido el celular..",0
Así me despertó mi amorcito❤ gracias amor rrmilan te adoro ❤hermoso detalle  # serenata http://t.co/NejlLQPHNA,3
Doy por finalizado este finde...que ha sido tan especial por tantos motivos...#comunionideal   ,3
 le hables a alguien con toda la emoción y te deje en visto -.-,0
Mi primer día de las Madres!!! Gracias Dios por esos 2 hombres que estan a mi lado: mi esposo y mi bebé.... ,3
 abrir la heladera cagado de hambre y no encontrar nada,0
 no poder acudir a la marcha...pero TU si puedes desplázate y alza la voz x ellos....SI SE PUEDE!!! http://t.co/IekghOyC3c,0
Como que quiero que sea Jueves pero a la ves no quiero un carajo que llegue el jueves! ,1
una menos!! veremos lo que va ocurriendo en el resto de exámenes  ,1
"Es un hit esta aplicación.  traductor de texto, misma fuente y color.  http://t.co/ihxYwc8fPl",5
bueno .. A estudiar será  como pone prueba para el lunes ,0
"Mas vale darse cuenta tarde de a quien no vale la pena regalarle tu tiempo, que estar siempre mal por la misma persona!  ",0
"Despues de un mes y medio, hoy toca volver a clase. ",4
 las selfies saber lo q es y los q se sacan fotos a cada rato sobre todo en boliches q nunca salieron?,0
Que asco me da el juego de España... Muchos pases y mucha mierda. Esperemos que cambie para el mundial porque sino hacemos el ridículo.#Asco,4
 Conocer como es la vida de una persona que mal dice.,5
En los dias de lluvia tengo tanta mala suerte que piso una baldosa cargada de agua y me ensucia hasta la cara  ,0
 La Real Sociedad ata a Vela tras llegar a un acuerdo con Arsenal http://t.co/keJ9Qdkl7H,5
" que me hablen cuando recién me despierto, es tipo, PAAAAAARA PELOTUDO, TODAVÍA NO REACCIONO, ANDA A HABLAR A OTRO LADO",0
"¡¿Por qué mierda hay un día para todo?! ¡¿Hoy no puede ser un simple jueves?! Q el niño, q el pisco, que el completo, q la madre. Aaah! ",0
"Sos un tanquee negra fea y te haces wachita para las fotos, por favor ",4
Me pongo a pensar que lo que estoy haciendo ahora va a determinar si voy a hacer alguien en mi vida o kioskero y ,1
Dijo mi papá que si cuando el se levanta y nosotros estamos levantados sabemos lo qur nos pasa jajaja ,1
"Alto cambio estoy pegando, nunca espere llegar a querer ser asi ",5
pues con esa cara por eso mandan a la fregada a  xD nadie cómo  :3   http://t.co/dXoKVXZ68K,0
Creo que ayer jodi tanto con un submarino que hoy me despertaron con uno :3 ,3
Atentos a cómo se va utilizar la  del  por parte del  para aliviar las próximas elecciones.analizad cada titular.,1
"maldito whatsapp déjame vivir, ya era una persona que socializaba con humanos ",1
"😱😱😱😱😱 Saltó el  en el grupo de la Muerte, la cenicienta,  vence 1-0 a  y se clasifica para Cuartos.  eliminada",5
Hoy me dicen si puede seguir en guión o me mandan a recursar    ,1
'Todos mis amigos estan muertos' bueno Benja si vos decis ,1
"Vamos, q Moya y Ximet máximos artífices d la cagada d los cambios asumen error humano y como premio coordinarán la parcela deportiva ",1
"Listo, he firmado la venta de mi depto .... literalmente estoy en la calle, ahora contando los dias para irnos a vivir a una parcela ",3
Hasta que no me coma el rollito de primavera no se me va a quitar el deseo.....quien me ha visto y quien me ve  dechinoquemeapetece,4
" Oblak interesa a Madrid, Atlético y Valencia - Las actuaciones estelares en el Benfica del gua... http://t.co/HUW0sDOZxP",5
"Ganar el partido, la noticia de que hay un viaje a Bariloche y salir esta noche, no es un 10 es un 10000000 ",3
Me da mucho asco que se estén lavando los dientes y que hablen a la vez  ,4
"Me habló una rocha al fb, apagué la compu rápido, la tele luz todo y me escondi en el ropero.. mira si le gusto ???? ?   ",1
Estoy tan traumada con la tela satinada que enserio aun no puedo creer que para algunas personas sea infaltable en sus trajes. ,4
"Para mi,aleco sueña conmigo e imagina cosas que nunca pasaron ",1
Ya esta Derecho Privado ahora vamos ppr Introduccion al Derecho ,1
"Montarnos en el coche, el destino mi regalo, y a tu lado la mejor compañia @riao_ivan    ",5
Que vergüenza los municipios que gastan la plata de sus vecinos en spots televisivos ,4
Bueno pos un ratiyo de descanso i a seguir con literatura   !!!!!,4
pensar que después del show de córdoba el próximo show que se viene es el del 8 de Julio y voy a estar presente  @laliespos ♥✌️,3
"El gobierno esperando el comienzo del  Mientras los boludos estamos entretenidos, ellos harán de las suyas. ",1
 que todos tengan sed justo en el momento que me voy a servir gaseosa,0
No hay nada q demuestre más q un político está anclado en el pasado (con independencia de su edad) q verle hacerse el moderno... ,2
Entra papa y me ve viendo el recital de romeo por youtube onda re manija y me dice la proxima vez que venga te prometo que vas . ,3
Mi piel y mi mente dicen: !gracias! !gracias! !un  para los sentidos!    http://t.co/SZWyZBz2ag,5
"Una bonita noche junto a una bonita persona, te quiero mi amor @sergio19293   http://t.co/GsevlRnOLR",5
 pensar que vas a dormir una tremenda siesta y despues no dormir nada! :_,0
como disfruto cuando a la gente q quiero le pasan cosas buenas ,3
Semana perfecta de prácticas :) pasito a pasito intentare llegar a ser una gran enfermera  ,3
" que me digas que me extrañas cuando soy yo quien siempre te saluda por facebook y a quien dejas en ""visto"" 😡",0
Esta neblina me hace sentir que somos un pueblo fantasma ,1
"Encima que cargas a 5 chiquillos por ir drogado hasta el culo, tú y tu hermano tenéis los santos cojones de poneros  chulos. ",4
el constitucional tumba la ley antifraking de Cantabria   ...seguiremos luchando,0
"Fin de cursada, fin de practicas, Solo quedan finaleeess! ",5
"Feliz, felicísimos 22 añitos! Seguimos sumando, es lo importante! Te deseó lo mejor ruseta!  http://t.co/RR3V2pBTaZ",5
en el  aún hay mucho  d cometer errores y esto va en detrimento d la   http://t.co/mNGY5lJjum,1
Buenos dias malditos pecadores! Exceso de todo incluyendo nuestro equipo. -B A.   http://t.co/D1UZChzLWq,0
Hola soy tu útero y te voy a hacer sangrar para que creas en Satanás :( ,0
hoy veniamos hablando con mi compañera de lo feo q sonaba el @TrenRoca unos trenes mas atras... descarrila uno...  ,1
"Mi pierna aun no esta ni al 50% de sanar, pero con esfuerzo y terapia volvere a las canchas ",0
"Buenos días, hoy toco hacer apoyo social, así que ya empezamos, que tengan un gran día ",5
"Parezco tranquila, pero me va a dar un ataque de nervios 😰     http://t.co/qaqJUT1Xem",1
Logos hechos con un muy mal concepto! http://t.co/ciqUcVTCyG  ,5
Segundo examen de ingles aprobado tmb!! Esto va bien!! ✌ Pero queda lo peor... viernes examen final!   http://t.co/4n3exfQiDR,1
@pabloalboran ¿Qué pasará? ¿Que misterio habrá? ¡Puede ser un gran lunes! 👏💃🎶 ,5
La cara de la cantante de Albania me recuerda a la niña que quería poner una bomba de destrucción en su colegio  ,1
" Hoy el autor del gol que le dio el campeonato a Alemania en 1998, Andreas Brehme, se encuentra lavando baños! ESTA ARRUINADO",5
"Bueno, y no se lo digáis a nadie, pero la banda sonora de Vice City también está muy bien para ponerla mientras juegas a Vice City ",5
"Buahh q resaca madre mía @ricky_martin ayer baile 7, 7veces adrenalina!!! Jaja me encanta!  fin de la  de abril y las Sevillanas",3
"@RaulSSerrano @Carmenlopezalv ""Twitter imputado por pedir un lanzallamas en la red. Responde al nombre de Raúl""  ",1
Vi dos caras conocidas en el video viral de los chilenos que botaron la pared en el estadio! XD y no los pillaron! ,0
Buenos diassss!!! Otra vez arriba!!!! Que dia tan bueno! ,3
Inadmisible que en un local de @McDonalds_Ar aprezca una cucaracha mientras estoy comiendo  no vuelvo nunca mas!!!!,4
 la gente pesimista. La gente conformista que pide más de lo que hace. La gente egoísta. La gente que hace sentir inferior a todos.,0
Es necesario tener que bancarse a las tinistas cuando stalkeo a PETER?? ensima ponen fotos de hace un año masomenos ,0
El en el gym y yo pues bueno YO SOLO LO VEO... jajajajaja :D   http://t.co/cmqUA6nsGE,3
"En algún momento del día tengo que ir a visitar a @BattagliaPablo_, él me va a vestir para esta noche! ",5
Si @OIZuluaga  es presidente no va a tener gabinete sino una banda criminal a su servicio. ... ,4
" las minas que no saben de fútbol y ahora que está el mundial saben ""todo""",0
Dedos cruzados para no quedar sola arriba del cole ,1
Tachero me cuenta q le pegó una piña al celu y lo hizo mierdita. Putea contra todo ser caminante y dice q un día va a matar a alguien ,1
Con mi amiga wuetter que de años! El mundo da muchas vueltas 😁     http://t.co/E9z1fMrHwI,3
"Por fin! Que lindo decir ""hogar dulce hogar"" Toda mi familia junta en mi casa, nada mejor!!  🙌",3
"Es increíble como después de una situación vergonzosa, puede pasar a una situación deliciosa y que quiere repetir  ",5
Todo esfuerzo vale la pena!    Prevención de Riesgos Laborales ...… http://t.co/vYCYZh3WQo,3
La belleza y colorido de los insectos en unas fotos impresionantes http://t.co/Kc4W8mGDug  ,5
"El de Literatura va a dar los parciales,  promedios y faltas. ",1
Mañana voy a dar una vuelta por la facultad a ver que onda! ,1
Espero que mañana sea el ultimo examen que haga de histologia (o cosa similar) en mi vidaa ,0
Ya llego mamá y mi madrina! Voy a ir verlas a la casa de mis primos! ,5
Ir a la facultad para recibir una nota de mierda y entregar un tp echo para el culo hace de mi dia otra caca. ,0
 La gente que critica los gustos de cada persona !,0
"Ponen el capítulo de el trasplante de riñón en lo Simpsons y yo con dolor de riñón, justo tengo  que ir al médico ",1
Emmmmm tengo un corte que sangra entre dos dedos del pie... esto es muy raro no entiendo como paso... ,1
 no poder ocultar mi cara de orto cuando alguien me cae mal,0
Noches asi le dan vida a uno...los ratos en familia son lo mejor!!! ,5
Lo rescataron del abandono. Y no esperaron ver lo que vieron después http://t.co/oXNPLCnCQT  ,5
Odio profundamente tener que cambiar la bolsa de la basura  ,4
Me parece a mi o Mc' donalds esta bajando c/vez mas la calidad d sus producto?: tostado rancio+cafe heladoo!#asco,4
Un nuevo sistema para dejar de fumar se puede hacer al dormir dandonos un olor nuevo q reduzca ese consumo  @ciuredano,5
Asiii perra abre bien esa boca de puta que tienes que te la dejare tan abierta como tu culo    http://t.co/cGpini90VL,0
"Radio La Roda apuesta fuerte por ""Mil tragos de ron"". Es el momento de probar suerte en las emisoras nacionales  ",1
La Unesco evaluará si los restos hallados en Haití son de la Santa María: La Unesco enviará una m... http://t.co/LkRuCbC5vx ,5
Gracias a todo el personal del @Hospital_Quiron Pozuelo por la intervención realizada hoy. Ya tengo un problema menos en la cabeza. ,3
"@martinezrmarca @jlcudeiro porque se lo dejan, le roba cuota de pantalla al tenis en galicia,parece que no sabes como va este mundillo ",4
 cuando se va la luz en el metro .-. Gracias @STCMetroCDMX  por su culpa voy a llegar tarde a la peda. :(,0
" dar todo por alguien, pensando que esa persona quiere a otra.",0
@melaferreiro bueno pero no te duermas mucho en la cama de Matu que no voy a ser yo la que te va a despertar jajajajajaaaa ,1
ctm!! martes 13 y en e dia tengo planes q espero salgan bien!!... ,1
"Estoy viviendo unos de los momentos mas lindo de mi vida. Ya no me importa nada ni nadie, me chupa todo un huevo. Así se vive mejor. ",3
no me puedo imaginar esa gran  de @SofiaRipollBOf que se case lo mas pronto posible con @PatricioIturbid,5
"Creo que nunca he engullido tan rápido la comida para salir pitando, como hoy que mi hermana se ha adueñado de la TV y ha puesto MyHyV ",4
"Acabo de ver ""Una mente maravillosa"" ",5
Me siento un coskiyeo en el hombro...miro inocentemente y hay una bestia negra intentando violarme..... ,4
"2da vez que te voy a ver romeo y no me dejas de sorprenderrrrrrrrr , teamo te amo te amo t e a m o   ",3
Que puedo hacer si soy yo el problema? Estaría mi familia mas feliz sin mi.... Es lo que cruza por mi mente..! ,2
Me parece que si caminando se te ve media raya del ojete estas usando un jean un poquito chico. ,4
Hermoso el regalo de mi mama por las notas y por mi cumple(adelantado)!! :3   http://t.co/fF5exngcOu,5
" esas bromas que son una ""joda"" pero en realidad es una forma de decirte la verdad ...",0
"El que se pierde el partido de las 16 hs  -  no es argentino, no pueden perder por goleada los dos a la vez? ",0
" tengo una amiga que le dijeron ""Un poco de ketchup a la salchicha no le hace nada"" ",4
"Si te amarga la vida, no es tu media naranja,  es medio limón.",5
