text,emocion,label
"@aliciaenp Ajajjaa somos del clan twitteras perdidas pa eventos ""importantes"" ",alegria,3
@AwadaNai la mala suerte del gato fichame la cara de help me pls,miedo,1
@audiomano A mí tampoco me agrado mucho eso. Especialmente por tratarse de él. No hay justificación.,ira,0
"Para llevar a los bebes de un lugar a otro debemos cantarles canciones...  Quiero cantarles Gunaa' nibiina (La llorona, en Zapoteco)",alegria,3
"En Venezuela, el tráfico aéreo esta tan peligroso como el terrestre? Ya cayó otra avioneta.",miedo,1
"Con razon mi vieja se fue rapido a Santa Fe sin invitarme, no queria que me tatue denuevo ",otra,6
"Lo lindo de sentir cerca a esa gente con la que compartiste tanto, eso es amistad! 😍 Soy una afortunada de tener a la gente que me rodea! ❤",alegria,3
"Qué perra rabia cuando tienes sueño pero no puedes dormir, no lo entiendo.",ira,0
@LastiriAriel una pintura para mañana creo q tuve q haberme preocupado un poquito antes🤦🏻,otra,6
@wichouya Que diosito te escuche jaja ,alegria,3
@DebRyanShow #Rayito Falsa alarma 🚨 sigo sacando ideas de mi cabeza 😉,alegria,3
El David no me quiere jugar más a la play jajajajaja 6 le metí ,alegria,3
"""-te ves como de 25 -sí, ya se  -¿qué te dieron de chiquita para verte tan grande?""  Wey, ya se que tengo cuerpo de treintona y soy amargada",asco,4
@RocioBattagini Tremendo capitulo jajajaj,alegria,3
"No se para que puse  de contraseña la huella digital, si sigo usando el patrón 😅",alegria,3
"@SonyMusicLatin @PrinceRoyce @FarrukoOfficial Yeeah, Congrats baby! 😱🎉🎉🙌🙌 La espera del video valió la pena! Hiciste un excelente trabajo! 😍",alegria,3
@Miguel_layun Hay que cosas le sale lo gruñon a @JorgeGonzalezGo animo optimista te sigo apoyando,alegria,3
"Desesperado por encontrarte, busco un camino para olvidarte, es que esa noche que vos te fuiste me desbordaron las cicatrices 🎤💔",tristeza,2
"Usar ""LOL"" y ""equisdé"" en público y otras maneras de provocar.",ira,0
Que alguien me diga alguna película de terror bueena (y que este en netflix),otra,6
Cuando viva sola voy a pesar 300 kg,otra,6
Ni sueño ,otra,6
@quimicefa *Apunta furiosamente*,ira,0
@letyduranhdez Mira tu niña aburrida cuando tiene una super nieta y nieto...no es para aburrirse😂😂,alegria,3
"It: Me gustó, pero en mi opinión le faltó algo, nose. Ojalá la hubieran pasado en 3D. En la espera del capítulo dos ",alegria,3
@feernandatj FERNANDA YA TE DIJE QUE NO,ira,0
@AlvaritoMorales siempre queriendote hacer el gracioso eres malísimo.,asco,4
Solicito seriamente que haya un festivo todas las semanas💋,otra,6
@lesxlex Pero no eres amargada verdad?,ira,0
Amo el personaje de nos vemos en disney de dario orsi jajajaja ,alegria,3
no es justo desde hace mil años llorando cada vez que las veo,tristeza,2
