alegria,miedo,ira,otra,asco,tristeza,sorpresa
"@aliciaenp Ajajjaa somos del clan twitteras perdidas pa eventos ""importantes"" ",@AwadaNai la mala suerte del gato fichame la cara de help me pls,@audiomano A mí tampoco me agrado mucho eso. Especialmente por tratarse de él. No hay justificación.,"Con razon mi vieja se fue rapido a Santa Fe sin invitarme, no queria que me tatue denuevo ","""-te ves como de 25 -sí, ya se  -¿qué te dieron de chiquita para verte tan grande?""  Wey, ya se que tengo cuerpo de treintona y soy amargada","Desesperado por encontrarte, busco un camino para olvidarte, es que esa noche que vos te fuiste me desbordaron las cicatrices 🎤💔",@juancatab En serio!??
"Para llevar a los bebes de un lugar a otro debemos cantarles canciones...  Quiero cantarles Gunaa' nibiina (La llorona, en Zapoteco)","En Venezuela, el tráfico aéreo esta tan peligroso como el terrestre? Ya cayó otra avioneta.","Qué perra rabia cuando tienes sueño pero no puedes dormir, no lo entiendo.",@LastiriAriel una pintura para mañana creo q tuve q haberme preocupado un poquito antes🤦🏻,@AlvaritoMorales siempre queriendote hacer el gracioso eres malísimo.,no es justo desde hace mil años llorando cada vez que las veo,No sé cómo mi hermana se dejó que le decolorara el cabello sin saber nada 
"Lo lindo de sentir cerca a esa gente con la que compartiste tanto, eso es amistad! 😍 Soy una afortunada de tener a la gente que me rodea! ❤","@SoyPabloMiguel Expedito, porque es de las causas urgentes. Ideal para gente ansiosa, como sho.","Usar ""LOL"" y ""equisdé"" en público y otras maneras de provocar.",Que alguien me diga alguna película de terror bueena (y que este en netflix),¿Por qué Bad Bunny se vestirá tan mal? ,Pelea con mi mama #triste,"""No tengo números,tengo sensaciones""(Brancatelli).Si fuera meteorólogo diría q va a llover xq le duelen los callos.Q serio #JuevesIntratable"
@wichouya Que diosito te escuche jaja ,"|| Acabo de leer el twett de user de Brooke y mi mama al mismo tiempo dijo ""anda mal el internet"" #miedo. Ahre les contaba su vida.",@quimicefa *Apunta furiosamente*,Cuando viva sola voy a pesar 300 kg,@arkangel_dragon Creo q fue un poco de venganza,@haashoficial  por que ami  Me tiene que pasar esto 💔 Quiero gritar que ya basta 😿 Quiero abrazarlas pero nunca podré Dios mío 😷😭  #triste,Diablo ni yo me lo creo 
@DebRyanShow #Rayito Falsa alarma 🚨 sigo sacando ideas de mi cabeza 😉,Adivinen quien tiene médico el lunes que viene y tiene miedo porque la van a pesar 😣,@feernandatj FERNANDA YA TE DIJE QUE NO,Ni sueño ,Que horror quienes usan traje y converse.,Noches de llanto 😕,@EsttebanGalvan Si vdd? 🙁 quien sabe porqué
El David no me quiere jugar más a la play jajajajaja 6 le metí ,"Evadirse del Problema Interior Provocado por la Personalidad no Es más que Avocarse hasta el Dolor, el Estrés,el Agobio o el Malestar.",@lesxlex Pero no eres amargada verdad?,Solicito seriamente que haya un festivo todas las semanas💋,"@LaTiadeltunco @oveflores la capital de Guate es idéntica a N capital SS en cuanto a orden, limpieza y seguridad ... 😒 #Sarcasmo","PORQUE SEEE QUE SIEEEMPRE,  QUE SIEMPRE ES AMARGO EL ADIOOOOS 🎤",@kalebalemayehu_ @NOCHlLLVlNES yo wtf 
@RocioBattagini Tremendo capitulo jajajaj,Ayer me baje dos juegos de terror y me da cosa jugarlos🙄,Ahora me voy a ir a dormir enojado.,"@OscarAlessandr0 @GolDNakama Estoy al día con el manga y te dire una cosa, esa chica no es el waifu ideal para Tatara ",Juega arrancar el GYM de nuevo pero con este frío como que no da 😧❄,Llevo 24 horas sintiéndome mal. ,No sé cómo le haces para que no pueda durar enojada contigo más de 2 días
"No se para que puse  de contraseña la huella digital, si sigo usando el patrón 😅",Kimberly me tiene más nerviosa,"Necesito personas que digan a todo ""si"" y no que salgan con ""peros"" ","@medicendaysi El martes no hay examen, así que que sea lo que Dios quiera ","@ClaudiaLopez No se deje intimidar senadora, con esos corruptos toca ir sin piedad. Son unos amigos de los recursos públicos.",aquela nostalgia gostosa escutando audioslave,"Claro que el año pasado invitaron al actor que hacía de Renly. Esa sí que hubiese sido una sorpresa, un Renly resucitado en la temporada 6"
"@SonyMusicLatin @PrinceRoyce @FarrukoOfficial Yeeah, Congrats baby! 😱🎉🎉🙌🙌 La espera del video valió la pena! Hiciste un excelente trabajo! 😍","@Anxi_us Te llevaría, pero está a punto de llover y me da miedo el ambiente eléctrico y me dan paja los mosquitos","Por cada minuto de enfado perdemos sesenta sejun,os de felicidad.",@solm_ferzm Nota mental: no volverme a quedar a dormir en tu casa. ,@GusMenFox @clubleonfc Muy feo!! Horrible se ve la publicidad !!,"Espero qe todo este esfuerzo sirva de algo , estoy muy cansado",Solo si leo a la velocidad de la luz voy a poder terminar mis trabajos. 
@Miguel_layun Hay que cosas le sale lo gruñon a @JorgeGonzalezGo animo optimista te sigo apoyando,Si hay algo q me da miedo es equivocarme de grupo y mandarme el moco del año o de la vida ,@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa,Amo tanto a mi hermanito a pesar de todo 👫😍💗💗,que horror que escriban REYNA,Mi cuerpo se vuelve carne y el deseo no es mutuo ni nomade. La misma pesadilla de deshumanizar lo que en algun momento fue mio y fue amor,Pensé que era joda que se iba a poner ese nombre 
