text,label
Mi padre me va a apagar el wifi y estoy #enfadada,0
@Mackerita El insultar a sus jefes tampoco ha ayudado mucho la verdad.,0
Mientes por temor a la verdad,1
"!Miedo!,tuve miedo de encontrarla - ",1
Estoy yo mas preocupada porque mi mejor amiga aprueba la previa que ella misma,1
JAJAJAJAJAJAJAJJAJAJAA yo no te la puedo creerrrrr ,3
Porque a mi no mE PASAN ESAS COSAS ,2
una compañera del colegio subió la foto de su bebé y parecía tener una tenaza en vez de pie ,5
"Que lindo es una persona que te cuide tanto, y este todo el tiempo preocupado por vos💖😍",3
@Corakoraa @TribunalCJ ira a la basura.una pena perder tiempo en ir a la  justicia burguesa,0
"Consecuencia, más de un lustro sin muertos por accidente de tráfico o atropello en el casco urbano.",2
Hasta la vista beyby Jajajaja  ,3
@SoSofiaReyes Que rapido se pasa el tiempo 🙈 siento que acabas de cumplir años  ,5
Déjame sobrepasar tus zonas de peligro,6
jijiji me pone jajajajajajaja re contenta,3
Como será uno ser extra de tu voz estéreo. #tristeza,2
"@Muzskatolista Eso de ""sin ofender"" sobra en Twitter",0
"@marianoamenabar @sepuedevivir Yo menos, pero es divertido",3
Tus bolsitas de papa y tu lata de coca armo tremendo y apocalíptico Zocavon #RenunciaRuizEsparza,0
Quiero ir al circo del terror. 😭,2
"@cia si, hay para todos. Cuando me enfado si. Si, estoy riendome ultimamente. Pero bueno, soy actor.*",6
"Y tu libro dice eso.  —Sus labios fruncen hacía dentro para luego separarlos con un chasquido.—  No me tomes del pelo, amigo.",0
@Reforma QEPD 😢 Mis condolencias para sus familiares.,2
Después no me quiero despertar en la mañana 🙁,2
"Soy cansancio, sueño y pereza, mqm.",3
"cuando me dicen ""te voy a decir algo pero no te enojes"" automáticamente me enojo un 98%",0
Que bonito es el Derecho Romano 😊  #IRONIA,6
"Hace 2 días quiero ver a mi novia y no puedo,tengo una amargura una cara de orto.. ahhh pero 2 birras más y le sonrió Hasta al matambre jaja",3
Estoy cansada de gente falsa en mi vida!!!,0
"Me enoja que me agarre imsomnio cuando no dormimos juntos 😠 No tengo a quien abrazar, ni molestar porque no puedo dormir ",0
"es muy frustrante practicar y practicar en tu instrumento y que no sientas mejora alguna, de verdad me pone triste eso 😥",2
"Mi momento favorito de Cirque Du Soleil fue cuando se escuchó un hermoso ""@sebastianpinera conshetumare"" seguido de aplausos.",3
"""El #miedo solo sirve para perderlo todo."" — Manuel Belgrano 😱👀",1
