text,emotion,date
"@franciscoactiv2 No se trata de ser experto, sino de sentido común, amor por la naturaleza y consciencia ambiental. Y si eso no es suficiente, entonces digamos que es puro INSTINTO DE SUPERVIVENCIA.",Alegría,2021-04-01T00:00:00Z
"@parejalarasexx Mi amor el mío, me encantas 😘que rico conocerte",Alegría,2021-04-01T00:00:00Z
"@Gabyche23 Si amor, dígame otra jajaja",Alegría,2021-04-01T00:00:00Z
@GautierMignot2 Llevará alegria profesionalismo y éxitos donde quiera que vaya 😃,Alegría,2021-04-01T00:00:00Z
@Pinneaple__ amor Saludes desde Colombia Cartagena,Alegría,2021-04-01T00:00:00Z
Mi amor la verdad es que este cuento es mío y yo lo echo como me dé la ganaaaaa,Alegría,2021-04-01T00:00:00Z
"Por más que se acabe la amistad, los secretos no se cuentan aprenda a ser leal mija.",Alegría,2021-04-01T00:00:00Z
"Les arde a los amargos que en vez de darle la espalda y señalarlo, el equipo le brindo total apoyo .... se les olvida que todos somos seres humanos .... Y esta es una familia donde todo se cura con amor 💙 °°/m 🤍",Alegría,2021-04-01T00:00:00Z
@msilvaazul Más amor menos odio no prejusguemos aun no sabemos que paso,Alegría,2021-04-01T00:00:00Z
Nadie merece un amor ordinario✌🏻,Alegría,2021-04-01T00:00:00Z
"@SandSuarez Que les disteis en vuestro hijo la mejor prenda de tu amor, para que hecho hombre...",Alegría,2021-04-01T00:00:00Z
"@Paoladiazh03 Amor si quieres vamos más tarde, mira a qué hora está y me avisas",Alegría,2021-04-01T00:00:00Z
"No entiendo la gente, se rasgan las vestiduras hablando de Dios, pero no les importa pasar por encima de los demás, criticando y hasta juzgando... ¿hasta donde llega la hipocresía con nuestra fe y hacia el amor de Dios ?",Alegría,2021-04-01T00:00:00Z
Hoy se duerme feliz porque es con el amor al ladito🥰,Alegría,2021-04-01T00:00:00Z
Al próximo encierro que nos vacunen de amor o que nos maten de olvido https://t.co/GKg7lH75T5,Alegría,2021-04-01T00:00:00Z
"Intenté otra vez y perdí, el amor no fue pa mi.",Alegría,2021-04-01T00:00:00Z
"@diasacaa Se llama ""Una súper triste historia de amor verdadero""",Alegría,2021-04-01T00:00:00Z
BONGO DE BOJAYA INTERNACIONAL SEMBRANDO SEMILLAS DE AMOR Y PAZ EN CARTAGENA DE INDIA COLOMBIA https://t.co/o3XGNwKJy0,Alegría,2021-04-01T00:00:00Z
"El fin de semana que pasó tuve una vista hermosa, la naturaleza y mi amor ❤️",Alegría,2021-04-01T00:00:00Z
Felicidad total! 💦 https://t.co/6EkfuUQccw,Alegría,2021-04-01T00:00:00Z
"El ejemplo no es la mejor forma de educar, es la única. No pretenda que sus hijos le tengan amor a la lectura, sino lo ven nunca disfrutar de un buen libro. https://t.co/MXKePFoVxZ",Alegría,2021-04-01T00:00:00Z
"Encontré este vídeo de hace un año, muchísimas cosas han cambiado, empezando por el lugar, las personas y yo, claramente.
Esa casita me dio mucha felicidad y la gente con la que viví, igual.
Qué lindo es recordar desde el amor y la gratitud. https://t.co/RNUF9uNe57",Alegría,2021-04-01T00:00:00Z
"""Ese amor murió
sucumbió
está muerto
aniquilado fenecido
finiquitado
occiso perecido
obliterado
muerto
sepultado
entonces,
¿porqué late todavía?""

Cristina Peri Rossi",Alegría,2021-04-01T00:00:00Z
Haremos el amor a poca luz.,Alegría,2021-04-01T00:00:00Z
Felicidad es saber que una de tus artistas favoritas hoy lanza video y álbum 🦋❤️✨ #DWTDTAOSO,Alegría,2021-04-01T00:00:00Z
@festeban111 https://t.co/YoqATAvwxp,Alegría,2021-04-01T00:00:00Z
"Buenos días. El Señor comparte con sus discípulos la última cena y les deja el mandamiento del amor.
Que tu cena hoy en especial,sea un momento de diálogo fraterno 🥐🥖☕ con tú familia,que se extienda a cada día. 
Nuestra Eucaristía en el link: https://t.co/gKjVRWXfbf #pesdebien https://t.co/ibPHKXG8BJ",Alegría,2021-04-01T00:00:00Z
Thomasito es el amor de la tía 🥰😻,Alegría,2021-04-01T00:00:00Z
@parroquiasantalaurabaq  Gracias Papá Dios por tanto aún en estos momentos vemos tu profundo amor@y compasión !❤️❤️ en Barranquilla https://t.co/QemhHOGoVF,Alegría,2021-04-01T00:00:00Z
La cara de felicidad de mi abuelita al verme llegar de sorpresa ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,Alegría,2021-04-01T00:00:00Z
Por fin mi mami y Fer en casa 🙏 Solo falta mi papi para que la felicidad sea completa!!! 😌,Alegría,2021-04-01T00:00:00Z
"@LorenaTorres_B Se llama: ""Una súper triste historia de amor verdadero""",Alegría,2021-04-01T00:00:00Z
"Dios muestra su fidelidad y amor,todos los días,solo hay que escuchar y prestar un poco más de atención ❤️.",Alegría,2021-04-01T00:00:00Z
"@juansandj ¿Y aquella ""amor platónico?¿Sigue ""PLATÓNICA""?",Alegría,2021-04-01T00:00:00Z
"@jsjimeneza Si, estaba contento y me fueron buscar al billar por q alguien murió, de todas formas gracias",Alegría,2021-04-01T00:00:00Z
"MARICA QUE PUTAS????? Huevon thats hugeeeee, eso es acoso , yo soy fan del amor pero esto ES DEMASIADO @CataLancherosI @MariaPaulaCM_ https://t.co/shM9lTDlwe",Alegría,2021-04-01T00:00:00Z
"Amor, teñirse el cabello no es hacer algo con tu cabello??? https://t.co/CX5lYYmviK",Alegría,2021-04-01T00:00:00Z
@SoyPastusa Jajaja no ome! Pero entonces póngale una más alegre 🤣🤣,Alegría,2021-04-01T00:00:00Z
