Alegría,Enojo,Miedo,Repulsión,Sorpresa,Tristeza
felicidad,enrabiar,aterradoramente,asqueroso,sorpresivamente,tristemente
divertidísimamente,enojo,aterrador,repulsivo,sorprendente,tristeza
alegría,enojar,aterrar,repulsivamente,asombrosamente,infeliz
divertido,enojado,aterrorizar,asco ,asombroso,triste
alegremente,ira,aterrado,aborrecer,sorpresa,entristecer
alegre,furiosamente,aterrorizador,aborrecible,sorpresivo,luto
contento,violencia,horror,aborrecimiento ,maravilloso,lutoso
amor,violento,terror,guácala,sorprender,entristecimiento
amistoso,enrabietar,espeluznar,repulsión ,asombro,entristecedor
amistad,odiar,fobia,detestable,asombrar,decepcionar
amartelado,odio,temor,asquerosamente,increible,luctuoso
alegrar,enfurecer,temible,repulsar,mirífico,sufrimiento
felizmente,enojosamente,atemorizado,repugnancia ,maravillosamente,depresión
feliz,enojoso,miedo,repugnante,asombramiento,decepción
afectuosamente,enfadado,temer,asquear,sorprendentemente,depresivo
sonriente,coraje,miedo ,asqueadamente,estupefacto,deprimente
divertidamente,ataque,miedoso,detestablemente,increíblemente,cabizcaído
divertir,hartar,espeluznante,repugnantemente,impresionante,cabizbajo
celebrar,rabia,atemorizar,repugnar,maravilla,desafortunado
afectuosidad,desquiciar,atemorizante,repugnadamente,inaudito,infelicidad
