date,trending,Sector,Count
2022-05-22,#NosUnimosONosJodemos,Derecha,2597
2022-05-22,#FedericoEsColombia,Derecha,
2022-05-22,#LoPeorDeEstasElecciones,Neutro,
2022-05-22,#MiVotoEsPetroYFrancia,Izquierda,
2022-05-23,#MiVotoEsPetroYFrancia,Izquierda,
2022-05-23,#UnTramposoEs,Neutro,
2022-05-23,#FedericoEsColombia,Derecha,
2022-05-23,#MeInquieta,Neutro,
2022-05-24,#ElDebateDefinitivo,Neutro,
2022-05-24,#AColombiaLePreocupa,Neutro,
2022-05-24,#LeApuestoA,Neutro,
2022-05-24,#UnTramposoEs,Neutro,
2022-05-24,#GrandezaEs,Neutro,
2022-05-25,#VotoPor,Neutro,
2022-05-25,#YaEsSuficiente,Izquierda,
2022-05-25,#ElDebateDefinitivo,Neutro,
2022-05-25,#vanessapregúnteleafico,Izquierda,
2022-05-25,#AColombiaLePreocupa,Neutro,
2022-05-25,#ConvenceUnoMásPorPetro,Izquierda,
2022-05-26,#FicoElGanador,Derecha,
2022-05-26,#ElMejorCandidatoEs,Neutro,
2022-05-26,#ElDebateDecisivo,Neutro,
2022-05-26,#PetroEsElCambio,Izquierda,
2022-05-26,#MagdalenaVotaPetro,Izquierda,
2022-05-27,#PetroEs,Neutro,
2022-05-27,#EsElMomentoDe,Neutro,
2022-05-27,#FicoElGanador,Derecha,
2022-05-27,#ElDomingoVoyA,Neutro,
2022-05-27,#ElMejorCandidatoEs,Neutro,
2022-05-28,#LaVidaEnUnVoto,Neutro,
2022-05-28,#VoyConFico,Derecha,
2022-05-28,#YoVotoPetroPresidente,Izquierda,
2022-05-28,#DebateFinal,Neutro,
2022-05-28,#VoyConFederico,Derecha,
2022-05-28,#FicoElGanador,Derecha,
2022-05-29,#EleccionesColombia,Neutro,
2022-05-29,#CualquieraMenosPetro,Derecha,
2022-05-29,#Elecciones2022,Neutro,
2022-05-29,#PetroPresidenteEnPrimera,Izquierda,
2022-05-29,#PetroPresidente2022,Izquierda,
2022-05-29,#ElCambioEnPrimera,Izquierda,
2022-05-29,#SegundaVuelta,Neutro,
2022-05-29,#MiVotoEsSecretosky,Izquierda,
2022-05-29,#VotoPorFicoYLara,Derecha,
2022-05-29,#PetroNuncaSeráPresidente,Derecha,
2022-05-29,#HoyMeIdentiFICO,Derecha,
2022-05-29,#YoVotoPetroPresidente,Izquierda,
2022-05-29,#ColombiaConPetro,Izquierda,
2022-05-29,#VoyConFederico,Derecha,
2022-05-29,#ColombiaDecide,Neutro,
2022-05-29,#HoyGana,Neutro,
2022-05-29,#PetroYFranciaSonElCambio,Izquierda,
2022-05-29,#PetroNUNCAseraPresidente ,Derecha,
2022-05-30,#SegundaVuelta,Neutro,
2022-05-30,#LaPrimeraVueltaFue,Neutro,
2022-05-30,#Elecciones2022,Neutro,
2022-05-30,#VotoPorFicoYLara,Derecha,
2022-05-30,#HoyGana,Neutro,
2022-05-31,#SegundaVuelta,Neutro,
2022-05-31,#MiCandidatoEs,Neutro,
2022-06-01,#FraudeElectoral,Neutro,
2022-06-01,#VelezPregunteleAPetro,Neutro,
2022-06-01,#pactosabroso,Izquierda,
2022-06-01,#ElVerdaderoCambioEs,Neutro,
2022-06-01,#RodolfoPresidente2022,Derecha,
2022-06-01,#CreoEnColombiaPor,Neutro,
2022-06-01,#Antipetrismo,Derecha,
2022-06-02,#MeSumoA,Neutro,
2022-06-02,#ColombiaNecesita,Neutro,
2022-06-02,#RodolfoPresidente2022,Derecha,
2022-06-02,#UnaPreguntaParaPetroFm,Neutro,
2022-06-02,#FraudeElectoral,Neutro,
2022-06-02,#ElDebateFeminista,Neutro,
2022-06-03,#PetroElCambioSeguro,Izquierda,
2022-06-03,#RodolfoPresidente2022,Derecha,
2022-06-03,#ColombiaQuiere,Neutro,
2022-06-03,#ColombiaNecesita,Neutro,
2022-06-03,#UnDesastre,Neutro,
2022-06-04,#PetroElCambioSeguro,Izquierda,
2022-06-04,#YoPactoConPetro,Izquierda,
2022-06-04,#RodolfoPresidente2022,Derecha,
2022-06-05,#LaCorrupcionPetrista,Derecha,
2022-06-05,#VotarEnBlancoEs,Neutro,
2022-06-05,#GraciasPero,Neutro,
2022-06-05,#PetroElCambioSeguro,Izquierda,
2022-06-06,#VotarEnBlancoEs,Neutro,
2022-06-06,#MeLimpioELCuloConEsaLey,Izquierda,
2022-06-06,#LaCorrupciónPetrista,Derecha,
2022-06-06,#GraciasPero,Neutro,
2022-06-06,#AliasElIngeniero,Izquierda,
2022-06-07,#UnaVerdadEs,Neutro,
2022-06-07,#VotarEnBlancoEs,Neutro,
2022-06-08,#UnaBurlaEs,Neutro,
2022-06-08,#YoContratoAPetro,Izquierda,
2022-06-08,#NoQuiero,Neutro,
2022-06-08,#UnaVerdadEs,Neutro,
2022-06-08,#ConPetroGanasTú,Izquierda,
2022-06-09,#PetrismoSucio,Derecha,
2022-06-09,#RumboALaVictoria,Izquierda,
2022-06-09,#PetroVideos,Derecha,
2022-06-09,#MeDaVergüenza,Neutro,
2022-06-09,#PetroNoMateaRodolfo,Derecha,
2022-06-09,#NoTodoVale,Neutro,
2022-06-09,#PetroMentiroso,Derecha,
2022-06-09,#LosPetroVideosSon,Neutro,
2022-06-09,#TodoVale,Neutro,
2022-06-09,#YoContratoAPetro,Izquierda,
2022-06-09,#ColombiaEspera,Neutro,
2022-06-10,#HablaMalDeColombia,Neutro,
2022-06-10,#PetrismoSucio,Derecha,
2022-06-10,#PetroVideos,Derecha,
2022-06-10,#CampañaSuciaEs,Neutro,
2022-06-10,#MeVoyConElIngeniero,Derecha,
2022-06-11,#SoyPetroSoyPaz,Izquierda,
2022-06-11,#PetroVideos,Derecha,
2022-06-11,#HablaMalDeColombia,Neutro,
2022-06-11,#PetrismoSucio,Derecha,
2022-06-11,#QuéCansancio,Neutro,
2022-06-12,#LaMaldadPetrista,Derecha,
2022-06-12,#SoyPetroSoyPaz,Izquierda,
2022-06-12,#ArizabaletaLameCulos,Izquierda,
2022-06-13,#ArizabaletaSicarioMoral,Izquierda,
2022-06-13,#PetroRespondaleAlosNiños,Derecha,
2022-06-13,#VanessaEnSegundaVotoPor,Neutro,
2022-06-13,#UnGolpeBajoEs,Neutro,
2022-06-13,#EsUnaBajeza,Neutro,
2022-06-13,#LaGranEncuesta,Neutro,
2022-06-13,#LaMaldadPetrista,Derecha,
2022-06-13,#NosFalta,Neutro,
2022-06-14,#PetrismoAcosaALaPrensa,Derecha,
2022-06-14,#YoBloqueoASemana,Izquierda,
2022-06-14,#LaCuotaDeBenedetti,Derecha,
2022-06-14,#EstallidoSocialEs,Neutro,
2022-06-14,#NoMeDejaDormir,Neutro,
2022-06-15,#DebateObligadoEs,Neutro,
2022-06-15,#YoBloqueoASemana,Izquierda,
2022-06-15,#LoCorrectoEs,Neutro,
2022-06-15,#CaracolPetrista,Derecha,
2022-06-15,#presidentepetro,Izquierda,
2022-06-15,#EstallidoSocialEs,Neutro,
2022-06-16,#IrrespetuosoEs,Neutro,
2022-06-16,#debate,Neutro,
2022-06-16,#NosHaceFalta,Neutro,
2022-06-16,#RodolfoElPresidentedelPueblo,Derecha,
2022-06-16,#MeDecepciona,Neutro,
2022-06-17,#RHGanador,Derecha,
2022-06-17,#RodolfoCobarde,Izquierda,
2022-06-17,#YoVotoPor,Neutro,
2022-06-17,#EsteDomingo,Neutro,
2022-06-17,#PetroPresidenteEnsegunda,Izquierda,
2022-06-18,#ExguerrilleroOIngeniero,Neutro,
2022-06-18,#RegistraduriaResponda,Neutro,
2022-06-18,#MiVotoEsAntiFraude,Neutro,
2022-06-18,#RHGanador,Derecha,
2022-06-18,#PetroPresidenteEnsegunda,Izquierda,
2022-06-19,#PetroEsPresidente,Izquierda,
2022-06-19,#Elecciones2022,Neutro,
2022-06-19,#EleccionesPresidenciales2022,Neutro,
2022-06-19,#ExguerrilleroOIngeniero,Neutro,
2022-06-19,#EleccionesColombia2022,Neutro,
2022-06-19,#RegistraduriaResponda,Neutro,
2022-06-19,#VivirSabroso,Izquierda,
2022-06-20,#PetroEsPresidente,Izquierda,
2022-06-20,#ExguerrilleroOIngeniero,Neutro,
2022-06-20,#Elecciones2022,Neutro,
2022-06-21,#PetroEsPresidente,Izquierda,
2022-06-21,#NuestraPrioridadEs,Neutro,
2022-06-21,#PetroBastaYa,Derecha,
2022-06-21,#DePetroEspero,Neutro,
2022-06-21,#PetroNecesita,Neutro,
2022-06-22,#EsMuyImportante,Neutro,
2022-06-22,#PetroBastaYa,Neutro,
2022-06-22,#LosImpuestosDePetro,Neutro,
