\begin{tabular}{lllr}
\toprule
date & trending & Sector & Count \\
\midrule
2022-05-22 & #NosUnimosONosJodemos & Derecha & 427 \\
2022-05-22 & #FedericoEsColombia & Derecha & 1597 \\
2022-05-22 & #LoPeorDeEstasElecciones & Neutro & 357 \\
2022-05-22 & #MiVotoEsPetroYFrancia & Izquierda & 2131 \\
2022-05-23 & #MiVotoEsPetroYFrancia & Izquierda & 2131 \\
2022-05-23 & #UnTramposoEs & Neutro & 1255 \\
2022-05-23 & #FedericoEsColombia & Derecha & 1597 \\
2022-05-23 & #MeInquieta & Neutro & 696 \\
2022-05-24 & #ElDebateDefinitivo & Neutro & 7546 \\
2022-05-24 & #AColombiaLePreocupa & Neutro & 1088 \\
2022-05-24 & #LeApuestoA & Neutro & 326 \\
2022-05-24 & #UnTramposoEs & Neutro & 1255 \\
2022-05-24 & #GrandezaEs & Neutro & 498 \\
2022-05-25 & #VotoPor & Neutro & 1093 \\
2022-05-25 & #YaEsSuficiente & Izquierda & 816 \\
2022-05-25 & #ElDebateDefinitivo & Neutro & 7546 \\
2022-05-25 & #vanessapregúnteleafico & Izquierda & 323 \\
2022-05-25 & #AColombiaLePreocupa & Neutro & 1088 \\
2022-05-25 & #ConvenceUnoMásPorPetro & Izquierda & 174 \\
2022-05-26 & #FicoElGanador & Derecha & 2578 \\
2022-05-26 & #ElMejorCandidatoEs & Neutro & 1681 \\
2022-05-26 & #ElDebateDecisivo & Neutro & 1305 \\
2022-05-26 & #PetroEsElCambio & Izquierda & 457 \\
2022-05-26 & #MagdalenaVotaPetro & Izquierda & 150 \\
2022-05-27 & #PetroEs & Neutro & 877 \\
2022-05-27 & #EsElMomentoDe & Neutro & 1334 \\
2022-05-27 & #FicoElGanador & Derecha & 2578 \\
2022-05-27 & #ElDomingoVoyA & Neutro & 298 \\
2022-05-27 & #ElMejorCandidatoEs & Neutro & 1681 \\
2022-05-28 & #LaVidaEnUnVoto & Izquierda & 221 \\
2022-05-28 & #VoyConFico & Derecha & 78 \\
2022-05-28 & #YoVotoPetroPresidente & Izquierda & 3376 \\
2022-05-28 & #DebateFinal & Neutro & 5217 \\
2022-05-28 & #VoyConFederico & Derecha & 4148 \\
2022-05-28 & #FicoElGanador & Derecha & 2578 \\
2022-05-29 & #EleccionesColombia & Neutro & 7088 \\
2022-05-29 & #CualquieraMenosPetro & Derecha & 957 \\
2022-05-29 & #Elecciones2022 & Neutro & 5978 \\
2022-05-29 & #PetroPresidenteEnPrimera & Izquierda & 4032 \\
